iso3,country,income_group,income_label,mean_fpe,min_fpe,max_fpe,n_years,n_frontier_total,n_frontier_eligible,best_year,worst_year,mean_uhc_sci,trend,learn_from,rank_in_group
CAN,Canada,H,High Income,0.9888,0.9657,1.0,15,6,6,2006,2009,100.0,Stable,"ZAF, BTN, BLR",1
URY,Uruguay,H,High Income,0.9759,0.9615,0.9903,2,0,0,2016,2005,100.0,Insufficient data,"MDG, ZAF, RWA",2
TTO,Trinidad and Tobago,H,High Income,0.9737,0.9712,0.9763,2,0,0,2005,2014,100.0,Insufficient data,"MDG, ZAF",3
PAN,Panama,H,High Income,0.9565,0.8935,0.9875,4,0,0,2008,2003,100.0,Improving,"CAN, RUS, CPV",4
ROU,Romania,H,High Income,0.9384,0.8759,1.0,15,5,5,2001,2016,100.0,Declining,"RWA, BLR, ZAF",5
EST,Estonia,H,High Income,0.9231,0.9004,0.9585,5,0,0,2000,2005,100.0,Declining,"BLR, CAN, MKD",6
ITA,Italy,H,High Income,0.9218,0.9097,0.9338,2,0,0,2001,2010,100.0,Insufficient data,"CAN, RUS, ZMB",7
HUN,Hungary,H,High Income,0.9103,0.8777,0.9399,12,0,0,2000,2015,100.0,Declining,"CAN, BLR, RUS",8
POL,Poland,H,High Income,0.9055,0.8547,1.0,22,5,5,2011,2015,100.0,Improving,"BLR, CAN, ZAF",9
LTU,Lithuania,H,High Income,0.9014,0.8885,0.9215,6,0,0,2000,2008,100.0,Declining,"CAN, BLR, RUS",10
BEL,Belgium,H,High Income,0.8944,0.8944,0.8944,1,0,0,2009,2009,100.0,Insufficient data,BWA,11
ARG,Argentina,H,High Income,0.8899,0.8453,0.9344,2,0,0,2017,2004,100.0,Insufficient data,"BLR, CAN, BTN",12
LVA,Latvia,H,High Income,0.8554,0.795,0.9199,15,0,0,2002,2016,100.0,Declining,"ZMB, MNG, RWA",13
CYP,Cyprus,H,High Income,0.8515,0.848,0.855,2,0,0,2015,2009,100.0,Insufficient data,"BWA, ZMB",14
GRC,Greece,H,High Income,0.8484,0.8408,0.8561,2,0,0,2010,2016,100.0,Insufficient data,"ZMB, RWA",15
MLT,Malta,H,High Income,0.8478,0.843,0.8527,2,0,0,2008,2015,100.0,Insufficient data,"JOR, ZMB",16
PRT,Portugal,H,High Income,0.8312,0.8312,0.8312,1,0,0,2011,2011,100.0,Insufficient data,"KAZ, MNG",17
CPV,Cabo Verde,UM,Upper-Middle Income,1.0,1.0,1.0,2,2,2,2007,2001,100.0,Insufficient data,—,1
ZAF,South Africa,UM,Upper-Middle Income,1.0,1.0,1.0,3,3,3,2005,2005,100.0,Stable,—,1
NAM,Namibia,UM,Upper-Middle Income,0.9989,0.9978,1.0,2,1,1,2015,2009,100.0,Insufficient data,BWA,3
KAZ,Kazakhstan,UM,Upper-Middle Income,0.9916,0.9691,1.0,19,5,5,2011,2010,100.0,Stable,"RUS, MNG, ZMB",4
MEX,Mexico,UM,Upper-Middle Income,0.9852,0.974,0.9961,7,0,0,2016,2010,100.0,Stable,"JOR, ZMB, GHA",5
IDN,Indonesia,UM,Upper-Middle Income,0.9845,0.9666,1.0,19,4,4,2002,2015,100.0,Stable,"CPV, MNG, ZMB",6
JOR,Jordan,UM,Upper-Middle Income,0.983,0.9542,1.0,4,1,1,2008,2017,100.0,Declining,"MNG, ZMB, BTN",7
