iso3,country,year,fpe_score,phi,peers
BGD,Bangladesh,2000,0.9261330799846424,1.0797584295515958,"PHL,RWA"
BLR,Belarus,2000,1.0,1.0,BLR
CAN,Canada,2000,0.9937688173614686,1.0062702537347425,"BLR,MKD"
EST,Estonia,2000,0.9585313266770996,1.0432627209656862,"BLR,MKD"
GEO,Georgia,2000,0.8996753327243161,1.1115120795541762,"MKD,PHL"
GTM,Guatemala,2000,0.9879182034832084,1.0122295514691333,"MKD,PHL"
HUN,Hungary,2000,0.9399358596691337,1.0639023819689244,"BLR,MKD"
IND,India,2000,0.8811941335979022,1.1348237146302997,"PHL,RWA"
LTU,Lithuania,2000,0.9215391931829244,1.0851410416371745,"BLR,MKD"
MAR,Morocco,2000,0.9100433976076674,1.098848695159826,"MKD,PHL"
MKD,North Macedonia,2000,1.0,1.0,MKD
PER,Peru,2000,0.9055749545668287,1.1042708225939601,"BLR,MKD,PHL"
PHL,Philippines,2000,0.9999999999999998,1.0000000000000002,PHL
POL,Poland,2000,0.8966589812670533,1.1152511945923045,"BLR,MKD"
PRY,Paraguay,2000,0.9283264024665131,1.0772073242159805,"MKD,PHL"
ROU,Romania,2000,0.9672337238919537,1.033876275504747,"BLR,PHL,RWA"
RUS,Russian Federation,2000,0.9921249671510952,1.0079375412469642,"BLR,MKD,PHL"
RWA,Rwanda,2000,1.0,1.0,RWA
SWZ,Eswatini,2000,1.0,1.0,SWZ
TUN,Tunisia,2000,0.7943131204966988,1.2589493666863785,"BLR,MKD,PHL"
UZB,Uzbekistan,2000,0.9442874735436144,1.0589995398830336,"MKD,PHL"
ARM,Armenia,2001,0.8946678643170353,1.1177332280324748,"RUS,SEN"
BIH,Bosnia and Herzegovina,2001,0.8744907092789345,1.1435227263015233,"RUS,SEN"
BLR,Belarus,2001,0.9999999999999973,1.0000000000000027,BLR
CAN,Canada,2001,0.9999999999999991,1.0000000000000009,CAN
CPV,Cabo Verde,2001,0.9999999999999991,1.0000000000000009,CPV
GEO,Georgia,2001,0.8744918699186989,1.1435212085996518,SEN
HUN,Hungary,2001,0.9358702105050059,1.0685242342102,"CAN,RUS"
IDN,Indonesia,2001,0.9951792062167112,1.0048441464142077,"CPV,RUS,SEN"
IND,India,2001,0.8652439024390246,1.1557434813248764,SEN
ITA,Italy,2001,0.9337699253536319,1.0709276159448868,"CAN,RUS"
KAZ,Kazakhstan,2001,0.9957349110540125,1.0042833578481976,"RUS,SEN"
LTU,Lithuania,2001,0.9053990241510831,1.1044853963009473,"CAN,CPV,RUS"
NIC,Nicaragua,2001,0.857624665910457,1.1660112398217894,"CPV,RUS,SEN"
PAK,Pakistan,2001,1.0000000000000004,0.9999999999999997,PAK
POL,Poland,2001,0.8944470974428433,1.1180091062500224,"CAN,CPV,RUS"
ROU,Romania,2001,1.0,1.0,ROU
RUS,Russian Federation,2001,0.9999999999999998,1.0000000000000002,RUS
SEN,Senegal,2001,0.9999999999999998,1.0000000000000002,SEN
ALB,Albania,2002,0.7762358184764987,1.288268302231503,MNG
ARM,Armenia,2002,0.8967787682333872,1.115102225234384,MNG
AZE,Azerbaijan,2002,0.9519096835666824,1.0505198310969266,"IDN,MNG"
