iso3,country,year,income_group,fpe_score,phi,peers
BLR,Belarus,2000,LM,0.9999999999999998,1.0000000000000002,BLR
GTM,Guatemala,2000,LM,0.987918203483208,1.0122295514691337,"MKD,PHL"
LTU,Lithuania,2000,LM,0.9215391931829247,1.0851410416371743,"BLR,MKD"
MAR,Morocco,2000,LM,0.9100433976076676,1.0988486951598258,"MKD,PHL"
MKD,North Macedonia,2000,LM,0.9999999999999998,1.0000000000000002,MKD
PER,Peru,2000,LM,0.9055749545668287,1.1042708225939601,"BLR,MKD,PHL"
PHL,Philippines,2000,LM,1.0,1.0,PHL
PRY,Paraguay,2000,LM,0.9283264024665131,1.0772073242159805,"MKD,PHL"
ROU,Romania,2000,LM,0.9856227237705232,1.0145869975222124,"BLR,PHL,SWZ"
RUS,Russian Federation,2000,LM,0.992124967151095,1.0079375412469644,"BLR,MKD,PHL"
SWZ,Eswatini,2000,LM,1.0,1.0,SWZ
TUN,Tunisia,2000,LM,0.794313120496699,1.2589493666863782,"BLR,MKD,PHL"
EST,Estonia,2000,UM,1.0,1.0,EST
HUN,Hungary,2000,UM,0.9825425725607796,1.0177676040985395,EST
POL,Poland,2000,UM,0.9383099496626326,1.0657459194155918,EST
ARM,Armenia,2001,L,1.0000000000000002,0.9999999999999999,ARM
GEO,Georgia,2001,L,0.9777298034314281,1.022777454968042,ARM
NIC,Nicaragua,2001,L,0.9999999999999998,1.0000000000000002,NIC
BIH,Bosnia and Herzegovina,2001,LM,0.8762582264005451,1.1412161048778462,"KAZ,RUS"
BLR,Belarus,2001,LM,1.0,1.0,BLR
CPV,Cabo Verde,2001,LM,1.0,1.0,CPV
KAZ,Kazakhstan,2001,LM,1.0,1.0,KAZ
ROU,Romania,2001,LM,1.0,1.0,ROU
RUS,Russian Federation,2001,LM,0.9999999999999998,1.0000000000000002,RUS
HUN,Hungary,2001,UM,1.0000000000000002,0.9999999999999999,HUN
LTU,Lithuania,2001,UM,1.0,1.0,LTU
POL,Poland,2001,UM,0.9828261902473697,1.0174739032425537,"HUN,LTU"
AZE,Azerbaijan,2002,L,1.0000000000000002,0.9999999999999999,AZE
GEO,Georgia,2002,L,0.8734805510534847,1.1448451814913603,MNG
MNG,Mongolia,2002,L,1.0,1.0,MNG
UZB,Uzbekistan,2002,L,0.9730969868524474,1.0276467952434756,"AZE,MNG"
VNM,Viet Nam,2002,L,0.9999999999999993,1.0000000000000007,VNM
ALB,Albania,2002,LM,0.8254593602055488,1.2114466783088977,"CHN,KAZ,ROU"
ARM,Armenia,2002,LM,0.9467856573190795,1.0562052691330395,"CHN,KAZ"
BLR,Belarus,2002,LM,1.0000000000000002,0.9999999999999998,BLR
CHN,China,2002,LM,1.0,1.0,CHN
JAM,Jamaica,2002,LM,0.9203250260759512,1.0865726473436934,"BLR,JOR,KAZ"
JOR,Jordan,2002,LM,1.0000000000000004,0.9999999999999996,JOR
KAZ,Kazakhstan,2002,LM,1.0000000000000002,0.9999999999999999,KAZ
MKD,North Macedonia,2002,LM,0.9492980722961397,1.053409913264886,"JOR,KAZ"
ROU,Romania,2002,LM,1.0,1.0,ROU
RUS,Russian Federation,2002,LM,0.9959724714032783,1.004043815177991,"BLR,JOR,KAZ"
UKR,Ukraine,2002,LM,0.9264597340630731,1.0793777249383623,"CHN,KAZ,ROU"
HUN,Hungary,2002,UM,0.9999999999999998,1.0000000000000002,HUN
LTU,Lithuania,2002,UM,1.0,1.0,LTU
LVA,Latvia,2002,UM,1.0000000000000002,0.9999999999999998,LVA
POL,Poland,2002,UM,0.9917166894929945,1.0083524968317719,"HUN,LTU,LVA"
ARM,Armenia,2003,LM,0.9146293919922504,1.0933390166062726,"PHL,RUS"
AZE,Azerbaijan,2003,LM,0.9579533274976253,1.0438921931741805,"PHL,RUS"
BLR,Belarus,2003,LM,1.0,1.0,BLR
GEO,Georgia,2003,LM,0.8982758428563202,1.1132437858066173,"PHL,RUS"
JAM,Jamaica,2003,LM,0.9144936923973659,1.0935012546434053,"PHL,RUS"
KAZ,Kazakhstan,2003,LM,0.9953313182451737,1.0046905805828128,"PHL,RUS"
MKD,North Macedonia,2003,LM,0.9460391520438185,1.0570387048354233,RUS
PHL,Philippines,2003,LM,0.9999999999999998,1.0000000000000002,PHL
ROU,Romania,2003,LM,1.0,1.0,ROU
RUS,Russian Federation,2003,LM,0.9999999999999998,1.0000000000000002,RUS
SYR,Syrian Arab Republic,2003,LM,0.9686427688737854,1.0323723380113319,"PHL,RUS"
UKR,Ukraine,2003,LM,0.9158789838537537,1.091847304752304,"PHL,RUS"
EST,Estonia,2003,UM,1.0,1.0,EST
HUN,Hungary,2003,UM,0.974099599822143,1.026589067670889,EST
LTU,Lithuania,2003,UM,0.9836594041796352,1.0166120465589334,EST
LVA,Latvia,2003,UM,1.0,1.0,LVA
PAN,Panama,2003,UM,1.0,1.0,PAN
POL,Poland,2003,UM,0.9812138728323698,1.0191458026509574,EST
ARM,Armenia,2004,LM,0.8450333805381347,1.183385204692363,HND
AZE,Azerbaijan,2004,LM,0.9999999999999998,1.0000000000000002,AZE
BLR,Belarus,2004,LM,1.0,1.0,BLR
GEO,Georgia,2004,LM,0.8925753590936678,1.120353581142339,HND
HND,Honduras,2004,LM,1.0000000000000002,0.9999999999999999,HND
JAM,Jamaica,2004,LM,0.9145387265451358,1.09344740793833,"BLR,HND"
KAZ,Kazakhstan,2004,LM,0.9911736852255262,1.0089049123337708,"BLR,HND"
MKD,North Macedonia,2004,LM,0.9437645275546586,1.0595863383327728,"BLR,HND"
ROU,Romania,2004,LM,0.9309600226208306,1.0741599807742643,"BLR,HND"
UKR,Ukraine,2004,LM,0.912554242265226,1.0958252711835608,"BLR,HND"
ARG,Argentina,2004,UM,0.8954002622458563,1.1168189715421626,"EST,RUS"
CRI,Costa Rica,2004,UM,0.9952918359204246,1.0047304357472413,"EST,RUS"
EST,Estonia,2004,UM,1.0000000000000002,0.9999999999999999,EST
HUN,Hungary,2004,UM,0.9875769778981841,1.0125792949611434,"EST,RUS"
LTU,Lithuania,2004,UM,0.9091562586768709,1.0999209326847041,"EST,RUS"
LVA,Latvia,2004,UM,0.9011890118901189,1.1096451319381255,RUS
POL,Poland,2004,UM,0.9293435445951129,1.0760283490597333,"EST,RUS"
RUS,Russian Federation,2004,UM,1.0,1.0,RUS
ALB,Albania,2005,LM,0.8468315184571856,1.1808724382647766,"AZE,KAZ"
ARM,Armenia,2005,LM,0.9274036978790067,1.0782790733819831,"AZE,KAZ"
AZE,Azerbaijan,2005,LM,1.0,1.0,AZE
BLR,Belarus,2005,LM,1.0000000000000002,0.9999999999999998,BLR
GEO,Georgia,2005,LM,0.8795238329797818,1.1369788543558292,"AZE,KAZ"
KAZ,Kazakhstan,2005,LM,1.0000000000000002,0.9999999999999998,KAZ
MKD,North Macedonia,2005,LM,0.9454730417090539,1.0576716160964064,KAZ
TUN,Tunisia,2005,LM,0.8087871277509137,1.2364192822662914,"AZE,KAZ"
UKR,Ukraine,2005,LM,0.9530749854260202,1.049235385768733,"AZE,BLR,KAZ"
EST,Estonia,2005,UM,0.9079898218829516,1.1013339311736352,ZAF
HUN,Hungary,2005,UM,0.9097201017811705,1.0992392034012084,ZAF
LVA,Latvia,2005,UM,0.8907888040712468,1.1226005484460695,ZAF
POL,Poland,2005,UM,0.8691094147582699,1.1506031151188663,ZAF
ROU,Romania,2005,UM,0.9999999999999998,1.0000000000000002,ROU
