year,country_count,countries
2000,57,Angola; Argentina; Austria; Belgium; Bangladesh; Belarus; Bolivia; Canada; Switzerland; Chile; Colombia; Costa Rica; Germany; Denmark; Dominican Republic; Ecuador; Spain; Estonia; Finland; France; United Kingdom; Georgia; Greece; Guatemala; Croatia; Hungary; Indonesia; Ireland; Italy; Kyrgyz Republic; Lithuania; Luxembourg; Morocco; Moldova; Mexico; North Macedonia; Mauritania; Norway; Panama; Peru; Philippines; Poland; Romania; Russian Federation; Rwanda; El Salvador; Sao Tome and Principe; Sweden; Eswatini; Thailand; Tonga; Tunisia; Tanzania; Uruguay; United States; Uzbekistan; South Africa
2001,48,"Argentina; Armenia; Australia; Azerbaijan; Bulgaria; Bosnia and Herzegovina; Belarus; Bolivia; Brazil; Canada; Cameroon; Colombia; Cabo Verde; Costa Rica; Germany; Dominican Republic; Estonia; France; United Kingdom; Georgia; Honduras; Croatia; Haiti; Hungary; Indonesia; Israel; Kazakhstan; Kyrgyz Republic; Lithuania; Luxembourg; Moldova; Madagascar; Mali; Nicaragua; Pakistan; Panama; Peru; Poland; Paraguay; Romania; Russian Federation; Senegal; El Salvador; Sweden; Timor-Leste; Uruguay; United States; Venezuela, RB"
2002,69,"Albania; Argentina; Armenia; Azerbaijan; Belarus; Bolivia; Brazil; Botswana; Canada; Switzerland; China; Cote d'Ivoire; Colombia; Costa Rica; Czechia; Germany; Djibouti; Dominican Republic; Estonia; Fiji; France; United Kingdom; Georgia; Guinea; Guinea-Bissau; Greece; Honduras; Hungary; Indonesia; Ireland; Israel; Italy; Jamaica; Jordan; Kazakhstan; Kyrgyz Republic; Lao PDR; Sri Lanka; Lesotho; Lithuania; Luxembourg; Latvia; Moldova; Maldives; Mexico; North Macedonia; Mongolia; Mozambique; Panama; Peru; Poland; Paraguay; Romania; Russian Federation; El Salvador; Serbia; Slovenia; Sweden; Thailand; Turkiye; Uganda; Ukraine; Uruguay; United States; Uzbekistan; Venezuela, RB; Viet Nam; Samoa; Zambia"
2003,70,"Argentina; Armenia; Australia; Austria; Azerbaijan; Belgium; Benin; Burkina Faso; Bulgaria; Belarus; Brazil; Bhutan; Canada; Chile; Colombia; Costa Rica; Germany; Denmark; Dominican Republic; Ecuador; Spain; Estonia; Finland; France; United Kingdom; Georgia; Gambia, The; Greece; Honduras; Hungary; Indonesia; Ireland; Iceland; Israel; Italy; Kazakhstan; Kyrgyz Republic; Lithuania; Luxembourg; Latvia; Moldova; North Macedonia; Malaysia; Namibia; Nigeria; Norway; Nepal; Panama; Peru; Philippines; Poland; Portugal; Paraguay; Romania; Russian Federation; Sierra Leone; El Salvador; Serbia; Slovenia; Sweden; Syrian Arab Republic; Chad; Tajikistan; Turkiye; Ukraine; Uruguay; United States; Uzbekistan; Venezuela, RB; Kosovo"
2004,76,"Argentina; Armenia; Australia; Austria; Azerbaijan; Belgium; Bosnia and Herzegovina; Belarus; Bolivia; Brazil; Canada; Switzerland; Congo, Dem. Rep.; Colombia; Comoros; Costa Rica; Cyprus; Czechia; Germany; Denmark; Dominican Republic; Ecuador; Egypt, Arab Rep.; Spain; Estonia; Ethiopia; Finland; France; United Kingdom; Georgia; Greece; Honduras; Croatia; Hungary; Indonesia; India; Ireland; Iceland; Israel; Italy; Jamaica; Kazakhstan; Kyrgyz Republic; Lithuania; Luxembourg; Latvia; Moldova; Mexico; North Macedonia; Mauritania; Malawi; Netherlands; Norway; Pakistan; Panama; Peru; Poland; Portugal; Paraguay; West Bank and Gaza; Romania; Russian Federation; El Salvador; Serbia; Slovak Republic; Slovenia; Sweden; Thailand; Tajikistan; Turkiye; Ukraine; Uruguay; United States; Venezuela, RB; Viet Nam; Zambia"
2005,81,"Albania; Argentina; Armenia; Austria; Azerbaijan; Belgium; Bangladesh; Belarus; Bolivia; Brazil; Canada; China; Congo, Rep.; Colombia; Costa Rica; Cyprus; Czechia; Germany; Denmark; Dominican Republic; Ecuador; Spain; Estonia; Finland; France; Micronesia, Fed. Sts.; Gabon; United Kingdom; Georgia; Ghana; Greece; Honduras; Hungary; Indonesia; Ireland; Iran, Islamic Rep.; Iceland; Israel; Italy; Kazakhstan; Kenya; Kyrgyz Republic; Lithuania; Luxembourg; Latvia; Moldova; Madagascar; Mexico; North Macedonia; Montenegro; Niger; Nicaragua; Netherlands; Norway; Pakistan; Panama; Peru; Poland; Portugal; Paraguay; West Bank and Gaza; Romania; Russian Federation; Rwanda; Senegal; Solomon Islands; El Salvador; Serbia; Slovak Republic; Slovenia; Sweden; Tunisia; Turkiye; Uganda; Ukraine; Uruguay; United States; Venezuela, RB; Kosovo; Yemen, Rep.; South Africa"
2006,82,"Argentina; Armenia; Austria; Burundi; Belgium; Bulgaria; Belarus; Bolivia; Brazil; Canada; Switzerland; Chile; Costa Rica; Cyprus; Czechia; Germany; Denmark; Dominican Republic; Ecuador; Spain; Estonia; Finland; France; United Kingdom; Georgia; Greece; Guatemala; Honduras; Hungary; Indonesia; Ireland; Iran, Islamic Rep.; Iraq; Iceland; Israel; Italy; Jordan; Kazakhstan; Kyrgyz Republic; Kiribati; Korea, Rep.; Sri Lanka; Lithuania; Luxembourg; Latvia; Morocco; Moldova; Mexico; North Macedonia; Mali; Malta; Montenegro; Mauritius; Malaysia; Netherlands; Norway; Panama; Peru; Philippines; Poland; Portugal; Paraguay; West Bank and Gaza; Romania; Russian Federation; El Salvador; Serbia; Slovak Republic; Slovenia; Sweden; Seychelles; Syrian Arab Republic; Togo; Thailand; Turkiye; Ukraine; Uruguay; United States; Venezuela, RB; Viet Nam; Kosovo; Zambia"
2007,72,Argentina; Armenia; Austria; Belgium; Bulgaria; Bosnia and Herzegovina; Belarus; Bolivia; Brazil; Bhutan; Canada; Switzerland; Cameroon; Cabo Verde; Costa Rica; Cyprus; Czechia; Germany; Denmark; Dominican Republic; Ecuador; Spain; Estonia; Finland; France; United Kingdom; Georgia; Guinea; Greece; Honduras; Hungary; Indonesia; Ireland; Iceland; Israel; Italy; Kazakhstan; Kyrgyz Republic; Lao PDR; Liberia; Lithuania; Luxembourg; Latvia; Moldova; Malta; Montenegro; Mongolia; Niger; Netherlands; Norway; Pakistan; Panama; Peru; Poland; Portugal; Paraguay; West Bank and Gaza; Romania; Russian Federation; El Salvador; Serbia; Slovak Republic; Slovenia; Sweden; Thailand; Tajikistan; Timor-Leste; Turkiye; Tanzania; Ukraine; Uruguay; United States
2008,79,"Angola; Albania; Argentina; Armenia; Australia; Austria; Belgium; Bulgaria; Belarus; Bolivia; Brazil; Central African Republic; Canada; Switzerland; China; Cote d'Ivoire; Colombia; Costa Rica; Cyprus; Czechia; Germany; Denmark; Dominican Republic; Ecuador; Egypt, Arab Rep.; Spain; Estonia; Finland; Fiji; France; United Kingdom; Georgia; Greece; Honduras; Croatia; Hungary; Indonesia; Ireland; Iceland; Israel; Italy; Jordan; Japan; Kazakhstan; Kyrgyz Republic; Korea, Rep.; Lithuania; Luxembourg; Latvia; Moldova; Mexico; North Macedonia; Malta; Montenegro; Mozambique; Mauritania; Malaysia; Netherlands; Norway; Panama; Peru; Poland; Portugal; Paraguay; Romania; Russian Federation; El Salvador; Serbia; Slovak Republic; Slovenia; Sweden; Thailand; Turkiye; Ukraine; Uruguay; United States; Viet Nam; Samoa; South Africa"
2009,83,"Argentina; Armenia; Austria; Belgium; Burkina Faso; Bulgaria; Belarus; Bolivia; Brazil; Botswana; Canada; Switzerland; Chile; Colombia; Costa Rica; Cyprus; Czechia; Germany; Denmark; Dominican Republic; Ecuador; Spain; Estonia; Finland; France; United Kingdom; Georgia; Greece; Honduras; Croatia; Hungary; Indonesia; India; Ireland; Iran, Islamic Rep.; Iceland; Israel; Italy; Japan; Kazakhstan; Kyrgyz Republic; Sri Lanka; Lithuania; Luxembourg; Latvia; Moldova; Maldives; North Macedonia; Mali; Malta; Montenegro; Namibia; Nicaragua; Netherlands; Norway; Panama; Peru; Philippines; Papua New Guinea; Poland; Portugal; Paraguay; West Bank and Gaza; Romania; Russian Federation; Sudan; El Salvador; Serbia; South Sudan; Slovak Republic; Slovenia; Sweden; Eswatini; Syrian Arab Republic; Thailand; Tajikistan; Tonga; Turkiye; Uganda; Ukraine; Uruguay; United States; Kosovo"
