year,country_count,countries
2000,20,Bangladesh; United Kingdom; Georgia; Guatemala; Hungary; India; Kyrgyz Republic; Lithuania; Morocco; Moldova; North Macedonia; Poland; Romania; Russian Federation; Rwanda; Eswatini; Tanzania; United States; Uzbekistan; South Africa
2001,19,Armenia; Bulgaria; Bosnia and Herzegovina; Georgia; Hungary; Indonesia; India; Israel; Kazakhstan; Kyrgyz Republic; Lithuania; Moldova; Nicaragua; Pakistan; Poland; Romania; Russian Federation; Senegal; United States
2002,33,Albania; Armenia; Azerbaijan; Belarus; China; Côte d’Ivoire; Djibouti; Georgia; Guinea; Guinea-Bissau; Hungary; Indonesia; Israel; Jamaica; Jordan; Kazakhstan; Kyrgyz Republic; Lao PDR; Lithuania; Latvia; Moldova; North Macedonia; Mongolia; Mozambique; Poland; Romania; Russian Federation; Türkiye; Uganda; Ukraine; United States; Uzbekistan; Vietnam
2003,29,"Armenia; Azerbaijan; Benin; Belarus; Bhutan; Georgia; Gambia, The; Hungary; India; Israel; Jamaica; Kazakhstan; Kyrgyz Republic; Lithuania; Latvia; Moldova; North Macedonia; Nepal; Panama; Poland; Romania; Russian Federation; Syrian Arab Republic; Chad; Türkiye; Ukraine; United States; Uzbekistan; Kosovo"
2004,31,"Armenia; Azerbaijan; Belarus; Congo, Dem. Rep.; Costa Rica; Ethiopia; Georgia; Honduras; Croatia; Hungary; Indonesia; India; Israel; Jamaica; Kazakhstan; Kyrgyz Republic; Lithuania; Latvia; Moldova; Maldives; Mexico; North Macedonia; Malawi; Pakistan; Poland; Romania; Russian Federation; Türkiye; Ukraine; United States; Vietnam"
2005,35,"Albania; Armenia; Azerbaijan; Bangladesh; Belarus; Congo, Rep.; Gabon; United Kingdom; Georgia; Ghana; Hungary; Indonesia; Iran, Islamic Rep.; Israel; Kazakhstan; Kenya; Kyrgyz Republic; Moldova; Madagascar; North Macedonia; Montenegro; Niger; Poland; Romania; Rwanda; Senegal; Slovak Republic; Trinidad and Tobago; Türkiye; Uganda; Ukraine; United States; Kosovo; Yemen, Rep.; South Africa"
2006,30,"Armenia; Burundi; Belarus; Georgia; Hungary; Indonesia; India; Iran, Islamic Rep.; Iraq; Israel; Kazakhstan; Kyrgyz Republic; Sri Lanka; Moldova; North Macedonia; Mali; Montenegro; Peru; Philippines; Poland; Romania; Slovak Republic; Seychelles; Togo; Türkiye; Ukraine; United States; Vietnam; Kosovo; Zambia"
2007,30,Afghanistan; Armenia; Belarus; Bhutan; China; Cabo Verde; Georgia; Guinea; Hungary; Indonesia; India; Israel; Kazakhstan; Kyrgyz Republic; Liberia; Latvia; Moldova; Montenegro; Niger; Pakistan; Peru; Poland; Romania; Slovak Republic; Syrian Arab Republic; Tajikistan; Türkiye; Tanzania; Ukraine; United States
2008,29,"Angola; Albania; Armenia; Belarus; Brazil; Central African Republic; Côte d’Ivoire; Colombia; Egypt, Arab Rep.; Georgia; Croatia; Israel; Jamaica; Jordan; Kazakhstan; Kyrgyz Republic; Lithuania; Latvia; Moldova; Montenegro; Mozambique; Peru; Poland; Romania; Slovak Republic; Türkiye; Ukraine; United States; Vietnam"
2009,38,"Armenia; Belgium; Burkina Faso; Belarus; Botswana; Georgia; Croatia; Indonesia; India; Ireland; Iran, Islamic Rep.; Israel; Jamaica; Kazakhstan; Kyrgyz Republic; Cambodia; Sri Lanka; Latvia; Moldova; North Macedonia; Mali; Montenegro; Namibia; Nigeria; Nicaragua; Peru; Philippines; Poland; Romania; Sudan; South Sudan; Slovak Republic; Tajikistan; Türkiye; Uganda; Ukraine; United States; Kosovo"
