year,total_countries_with_all_data,countries
2000,19,Bangladesh; Eswatini; Georgia; Guatemala; Hungary; Kyrgyz Republic; Lithuania; Moldova; Morocco; North Macedonia; Poland; Romania; Russian Federation; Rwanda; South Africa; Tanzania; United Kingdom; United States; Uzbekistan
2002,30,Albania; Armenia; Azerbaijan; Belarus; China; Djibouti; Georgia; Guinea; Guinea-Bissau; Hungary; Indonesia; Israel; Jamaica; Jordan; Kazakhstan; Kyrgyz Republic; Lao PDR; Latvia; Lithuania; Moldova; Mongolia; Mozambique; North Macedonia; Poland; Romania; Russian Federation; Uganda; Ukraine; United States; Uzbekistan
2003,25,"Armenia; Azerbaijan; Belarus; Benin; Bhutan; Chad; Gambia, The; Georgia; Hungary; Israel; Kazakhstan; Kyrgyz Republic; Latvia; Lithuania; Moldova; Nepal; North Macedonia; Panama; Poland; Romania; Russian Federation; Syrian Arab Republic; Ukraine; United States; Uzbekistan"
2004,28,"Armenia; Azerbaijan; Belarus; Congo, Dem. Rep.; Costa Rica; Croatia; Ethiopia; Georgia; Honduras; Hungary; India; Indonesia; Israel; Jamaica; Kazakhstan; Kyrgyz Republic; Latvia; Lithuania; Malawi; Mexico; Moldova; North Macedonia; Pakistan; Poland; Romania; Russian Federation; Ukraine; United States"
2005,31,"Albania; Armenia; Azerbaijan; Bangladesh; Belarus; Congo, Rep.; Gabon; Georgia; Ghana; Hungary; Indonesia; Iran, Islamic Rep.; Israel; Kazakhstan; Kenya; Kyrgyz Republic; Madagascar; Moldova; Niger; North Macedonia; Poland; Romania; Rwanda; Senegal; Slovak Republic; South Africa; Uganda; Ukraine; United Kingdom; United States; Yemen, Rep."
2006,25,"Armenia; Belarus; Burundi; Georgia; Hungary; Indonesia; Iran, Islamic Rep.; Iraq; Israel; Kazakhstan; Kyrgyz Republic; Mali; Moldova; North Macedonia; Peru; Philippines; Poland; Romania; Seychelles; Slovak Republic; Sri Lanka; Togo; Ukraine; United States; Zambia"
2007,24,Armenia; Belarus; Bhutan; Cabo Verde; Georgia; Guinea; Hungary; Indonesia; Israel; Kazakhstan; Kyrgyz Republic; Latvia; Liberia; Moldova; Niger; Pakistan; Peru; Poland; Romania; Slovak Republic; Tajikistan; Tanzania; Ukraine; United States
2008,24,"Albania; Angola; Armenia; Belarus; Brazil; Central African Republic; Colombia; Croatia; Egypt, Arab Rep.; Georgia; Israel; Jordan; Kazakhstan; Kyrgyz Republic; Latvia; Lithuania; Moldova; Mozambique; Peru; Poland; Romania; Slovak Republic; Ukraine; United States"
2009,31,"Armenia; Belarus; Belgium; Botswana; Burkina Faso; Croatia; Georgia; India; Indonesia; Iran, Islamic Rep.; Ireland; Israel; Kazakhstan; Kyrgyz Republic; Latvia; Mali; Moldova; Namibia; Nicaragua; North Macedonia; Peru; Philippines; Poland; Romania; Slovak Republic; Sri Lanka; Sudan; Tajikistan; Uganda; Ukraine; United States"
2010,27,"Armenia; Belarus; Colombia; Croatia; Denmark; Gambia, The; Georgia; Germany; Guinea-Bissau; Indonesia; Israel; Italy; Jordan; Kazakhstan; Kyrgyz Republic; Luxembourg; Madagascar; Malawi; Moldova; North Macedonia; Pakistan; Poland; Romania; Russian Federation; Ukraine; United States; Zambia"
2011,24,"Armenia; Belarus; Benin; Chad; Chile; Congo, Rep.; Estonia; Georgia; India; Indonesia; Israel; Kazakhstan; Kyrgyz Republic; Moldova; Montenegro; Niger; North Macedonia; Pakistan; Poland; Romania; Russian Federation; Senegal; Ukraine; United States"
2012,25,"Albania; Armenia; Belarus; Bhutan; Congo, Dem. Rep.; Djibouti; Egypt, Arab Rep.; Guinea; Haiti; Indonesia; Iraq; Israel; Kazakhstan; Kyrgyz Republic; Madagascar; Moldova; Mongolia; Montenegro; North Macedonia; Philippines; Poland; Romania; Uganda; Ukraine; United States"
2013,21,"Armenia; Belarus; Burundi; Ecuador; Indonesia; Iran, Islamic Rep.; Israel; Kazakhstan; Kyrgyz Republic; Moldova; Montenegro; Morocco; North Macedonia; Pakistan; Poland; Romania; Russian Federation; Rwanda; Seychelles; Ukraine; United States"
2014,24,"Armenia; Belarus; Burkina Faso; Comoros; El Salvador; Indonesia; Israel; Kazakhstan; Kyrgyz Republic; Liberia; Mexico; Moldova; Mongolia; Montenegro; Mozambique; Nicaragua; North Macedonia; Poland; Russian Federation; Sudan; Timor-Leste; Ukraine; United States; Yemen, Rep."
2015,24,"Armenia; Belarus; Benin; Botswana; Cabo Verde; Egypt, Arab Rep.; Ethiopia; Gambia, The; Indonesia; Israel; Kazakhstan; Kenya; Kyrgyz Republic; Moldova; Montenegro; Myanmar; Namibia; North Macedonia; Pakistan; Philippines; Poland; Ukraine; United States; Zambia"
2016,22,"Armenia; Belarus; El Salvador; Eswatini; Indonesia; Iran, Islamic Rep.; Israel; Kazakhstan; Kyrgyz Republic; Liberia; Malawi; Moldova; Mongolia; North Macedonia; Poland; Romania; Rwanda; Sri Lanka; Uganda; Ukraine; United States; Uruguay"
2017,18,"Albania; Argentina; Armenia; Belarus; Brazil; Egypt, Arab Rep.; El Salvador; Gabon; Georgia; Indonesia; Iran, Islamic Rep.; Israel; Lesotho; Moldova; North Macedonia; Poland; Ukraine; Zimbabwe"
2018,26,"Angola; Armenia; Belarus; Belize; Benin; Burkina Faso; Chad; China; Costa Rica; El Salvador; Guinea; Guinea-Bissau; Indonesia; Iran, Islamic Rep.; Israel; Jamaica; Kazakhstan; Mali; Moldova; Mongolia; Niger; North Macedonia; Poland; Senegal; Tanzania; Ukraine"
2019,17,"Armenia; Belarus; El Salvador; Georgia; Indonesia; Iran, Islamic Rep.; Israel; Kiribati; Kyrgyz Republic; Malawi; Moldova; Mozambique; North Macedonia; Poland; Uganda; Ukraine; Vanuatu"
2020,9,"Armenia; Belarus; Georgia; Indonesia; Iran, Islamic Rep.; Israel; Kyrgyz Republic; Moldova; Peru"
2021,16,"Benin; Bosnia and Herzegovina; Burkina Faso; Central African Republic; Ethiopia; Guinea-Bissau; Indonesia; Iran, Islamic Rep.; Israel; Jamaica; Kyrgyz Republic; Mali; Moldova; Niger; Senegal; Tunisia"
2022,9,"Georgia; Indonesia; Iran, Islamic Rep.; Kyrgyz Republic; Moldova; Nepal; Nigeria; Peru; Suriname"
2023,2,Georgia; Indonesia
