Country Name,residual_mean,residual_std,n_obs,che_mean,predicted_che_mean
Angola,18.3675,14.0236,2,23.895,5.5275
Lebanon,17.7121,,1,26.6,8.8879
Sierra Leone,16.3812,10.58,3,29.8067,13.4255
"Egypt, Arab Rep.",13.3277,9.1264,4,25.2825,11.9548
Portugal,10.9864,,1,18.38,7.3936
Zimbabwe,9.4538,,1,11.82,2.3662
Tunisia,9.3854,3.6059,4,19.47,10.0846
Nicaragua,8.3015,5.1251,3,18.9533,10.6519
China,8.1804,7.0054,4,18.4725,10.2921
Greece,7.97,1.4782,2,15.765,7.795
Poland,7.7552,1.5174,22,13.9336,6.1784
Georgia,7.7173,8.5969,21,22.489,14.7718
Colombia,7.0711,7.7894,2,14.1,7.0289
Brazil,6.9368,1.3888,2,13.44,6.5032
Malta,6.7703,1.222,2,16.07,9.2997
Latvia,6.4783,4.1629,15,15.49,9.0117
Uganda,6.434,3.9212,5,15.53,9.096
Barbados,6.1088,,1,16.37,10.2612
Cyprus,5.6476,0.1038,2,15.395,9.7474
Ecuador,5.4421,4.5125,2,14.34,8.8979
Argentina,5.3834,4.37,2,13.235,7.8516
Bulgaria,5.3656,5.872,7,15.4657,10.1001
Israel,5.1688,0.7156,16,11.6594,6.4906
Romania,5.0077,1.9898,15,10.4887,5.481
Nigeria,4.8502,3.516,6,19.5617,14.7114
Haiti,4.796,0.2949,2,10.485,5.689
Cambodia,4.5764,3.6386,3,16.5967,12.0203
Belgium,4.5446,,1,11.45,6.9054
Albania,4.4762,6.2031,5,16.472,11.9958
Lithuania,4.3211,0.7641,6,11.66,7.3389
Hungary,4.0497,1.53,12,10.7917,6.742
Liberia,3.8761,8.9755,3,12.3133,8.4372
Estonia,3.4821,1.7043,5,9.564,6.0819
Dominican Republic,3.1537,5.2313,2,12.915,9.7613
Moldova,3.1367,3.3355,22,13.8468,10.7101
Bangladesh,3.1107,4.8807,4,16.4575,13.3468
Eswatini,3.0694,1.1524,2,6.88,3.8106
Morocco,3.0185,5.113,4,13.775,10.7565
Viet Nam,2.8127,3.496,10,11.575,8.7623
Afghanistan,2.7605,9.7766,4,17.3475,14.587
India,2.3594,2.6425,8,15.605,13.2456
Italy,2.3507,0.5416,2,9.05,6.6993
Switzerland,2.2288,0.9175,12,8.4458,6.2171
"Korea, Rep.",2.1002,1.8524,16,11.6938,9.5935
Japan,2.0998,0.7672,12,9.6833,7.5835
Maldives,2.0513,7.9609,3,12.4767,10.4253
Togo,2.0216,7.66,4,15.475,13.4534
"Iran, Islamic Rep.",1.6905,1.9968,16,14.6075,12.917
Chile,1.5724,2.8415,3,11.7133,10.1409
Jamaica,1.4472,0.3403,3,10.3167,8.8695
"Yemen, Rep.",1.3386,1.5808,2,15.615,14.2764
Burundi,1.3055,2.4895,3,6.84,5.5345
Sudan,1.1707,5.599,2,15.41,14.2393
Botswana,1.1499,1.7369,2,2.66,1.5101
Bosnia and Herzegovina,1.0709,2.5228,4,10.2725,9.2016
Peru,1.0069,1.0604,16,10.2012,9.1943
Timor-Leste,0.9345,1.1865,2,2.485,1.5505
Malawi,0.8146,2.8414,4,2.87,2.0554
Finland,0.6999,0.3171,3,6.7067,6.0068
Bhutan,0.439,0.6218,4,4.2,3.761
Luxembourg,0.2101,0.7735,10,3.749,3.5389
Lao PDR,0.187,5.2734,4,8.77,8.583
Serbia,0.1475,1.4494,11,9.2091,9.0616
Armenia,-0.0235,4.2089,20,15.5265,15.55
Belarus,-0.0871,3.4663,22,6.3577,6.4448
Bolivia,-0.1985,2.0996,9,7.1156,7.314
Ireland,-0.3219,,1,5.59,5.9119
Belize,-0.3281,,1,6.2,6.5281
Benin,-0.3897,3.8195,4,9.405,9.7947
Montenegro,-0.4228,0.8265,5,9.07,9.4928
Mauritania,-0.5281,3.6836,2,11.1,11.6281
Qatar,-0.5545,,1,1.3,1.8545
Rwanda,-0.6037,3.0018,4,3.3925,3.9962
Lesotho,-0.6171,,1,4.51,5.1271
West Bank and Gaza,-0.7227,1.3386,7,7.8043,8.527
Singapore,-0.8051,,1,9.01,9.8151
Iraq,-0.8318,8.0789,3,8.8533,9.6852
Spain,-0.9458,0.597,14,6.2736,7.2193
Slovenia,-0.9746,0.953,5,3.518,4.4926
Mozambique,-1.0754,2.7882,4,1.8025,2.8779
Myanmar,-1.3095,1.2839,2,13.265,14.5745
Ukraine,-1.4554,1.858,18,8.1828,9.6382
Kiribati,-1.5046,,1,0.0,1.5046
Cameroon,-1.5057,6.2439,3,13.1,14.6057
United States,-1.631,0.9963,20,5.0,6.631
Nepal,-1.6444,0.819,5,10.196,11.8404
South Africa,-1.8485,0.9083,3,1.9033,3.7518
Suriname,-1.8678,,1,4.87,6.7378
Mongolia,-2.0239,4.1702,10,5.181,7.2049
Namibia,-2.1514,0.5176,2,1.37,3.5214
Thailand,-2.1912,0.3044,19,2.7442,4.9354
Bahrain,-2.2862,1.4577,2,4.055,6.3412
Tanzania,-2.2942,2.1417,4,4.2975,6.5917
Kenya,-2.4733,2.2001,2,5.37,7.8433
Burkina Faso,-2.5698,1.9868,4,5.87,8.4398
Croatia,-2.6188,0.2772,4,2.48,5.0988
United Arab Emirates,-2.6277,,1,0.372,2.9997
Slovak Republic,-2.6455,0.9835,8,4.1412,6.7868
Paraguay,-2.6756,0.0449,2,9.885,12.5606
Saudi Arabia,-2.678,1.0121,2,1.52,4.198
Denmark,-2.7414,,1,2.93,5.6714
"Congo, Rep.",-2.7693,,1,4.58,7.3493
Canada,-2.9283,0.4976,15,3.5733,6.5016
Czechia,-3.0763,0.6074,18,1.7811,4.8575
Zambia,-3.2573,0.4405,4,1.3025,4.5598
Seychelles,-3.2709,1.7513,2,1.315,4.5859
North Macedonia,-3.5634,2.3848,10,6.868,10.4314
Gabon,-3.5887,1.6724,2,4.75,8.3387
Cabo Verde,-3.6568,0.2465,2,2.43,6.0868
Fiji,-3.6704,,1,0.78,4.4504
"Gambia, The",-3.7028,0.8279,2,0.405,4.1078
Chad,-3.7408,0.6084,3,8.09,11.8308
Russian Federation,-3.9179,1.732,12,3.9608,7.8787
St. Lucia,-3.9374,,1,6.17,10.1074
Comoros,-4.0823,,1,8.81,12.8923
Uruguay,-4.1973,1.7926,2,3.325,7.5223
Tajikistan,-4.2891,2.8146,7,9.3757,13.6648
Panama,-4.439,4.348,4,6.1325,10.5715
Djibouti,-4.4484,2.3397,3,1.62,6.0684
Germany,-4.4532,,1,1.53,5.9832
Australia,-4.55,0.0961,2,2.4,6.95
Syrian Arab Republic,-4.7923,1.0691,2,6.21,11.0023
Kazakhstan,-4.9009,1.8348,19,2.6016,7.5024
United Kingdom,-4.9111,0.4435,10,2.057,6.9681
Mauritius,-4.9808,1.8917,3,6.2433,11.2241
Central African Republic,-5.0071,,1,6.75,11.7571
Sri Lanka,-5.058,1.4348,5,5.548,10.606
Guinea-Bissau,-5.2322,2.593,3,5.6,10.8322
Ethiopia,-5.3747,1.4023,4,2.075,7.4497
"Congo, Dem. Rep.",-5.4424,3.7071,2,5.315,10.7574
Uzbekistan,-5.5008,1.0495,3,7.0,12.5008
Costa Rica,-5.5737,2.2844,3,6.53,12.1037
Azerbaijan,-5.6301,1.6106,4,7.4275,13.0576
Mali,-5.6762,1.6899,10,2.496,8.1722
Ghana,-5.8471,1.6429,3,1.9733,7.8204
Jordan,-5.9968,2.9297,4,2.9625,8.9593
Indonesia,-6.1147,1.6291,19,3.1426,9.2574
Philippines,-6.255,0.8488,6,4.5167,10.7717
Malaysia,-6.2576,0.3284,3,1.5267,7.7842
Guinea,-6.2645,4.9453,3,6.0467,12.3112
Niger,-6.337,2.2593,3,5.63,11.967
Guatemala,-6.4044,4.0408,3,8.1633,14.5677
Trinidad and Tobago,-6.463,1.5404,2,3.23,9.693
St. Kitts and Nevis,-6.5503,,1,4.13,10.6803
Senegal,-6.878,3.06,4,3.2925,10.1705
Kyrgyz Republic,-6.9068,2.1999,13,3.7585,10.6652
El Salvador,-7.0712,1.0023,5,3.714,10.7852
Mexico,-7.166,0.9567,7,2.87,10.036
Madagascar,-7.4398,1.4004,3,1.5733,9.0131
Pakistan,-8.1182,1.9768,8,4.2888,12.4069
Grenada,-8.5347,,1,3.17,11.7047
Honduras,-10.2585,,1,1.14,11.3985
