Country Name,Country Code,Year,CHE_PPP,CHE10,FPE,GGHE_pct,DEA_Efficiency
Bangladesh,BGD,2000,27.2905550706384,14.85,85.15,5.21146441,0.7094963970639283
Belarus,BLR,2000,316.620794668775,2.71,97.29,12.1293211,0.16361785942207685
Bolivia,BOL,2000,147.649016788093,11.06,88.94,8.29598331,0.2596025028824919
Canada,CAN,2000,2405.67150004447,3.3,96.7,14.8156271,0.08597417992519561
Czechia,CZE,2000,923.632574790482,0.79,99.21,12.38825798,0.299039110627713
Estonia,EST,2000,485.687718341864,6.63,93.37,10.7823925,0.14466075774058992
United Kingdom,GBR,2000,1895.92439875247,2.0,98.0,15.96845055,0.11467268454549503
Georgia,GEO,2000,217.030483039799,12.38,87.62,4.85252142,0.32248070263300277
Guatemala,GTM,2000,272.539677981635,3.68,96.32,14.0827589,0.15262992101008563
Hungary,HUN,2000,802.676557554202,8.26,91.74,9.85581303,0.1292396057152068
India,IND,2000,85.8442199233361,15.41,84.59,3.05056,0.6168382967273701
Kyrgyz Republic,KGZ,2000,80.1123774476418,2.36,97.64,7.06400633,0.4517117988888946
Lithuania,LTU,2000,521.799343451219,10.06,89.94,10.57103539,0.14137680262971142
Morocco,MAR,2000,143.244423675375,11.5,88.5,4.11556196,0.4228104354156924
Moldova,MDA,2000,124.540222789945,6.89,93.11,8.52794456,0.2643386788209596
North Macedonia,MKD,2000,537.53067812623,1.99,98.01,14.71431541,0.12734839257489727
Peru,PER,2000,215.482857504425,11.82,88.18,10.76997662,0.1939780879533113
Philippines,PHL,2000,102.821933040413,2.83,97.17,6.51838589,0.38230889986587296
Poland,POL,2000,564.333435262893,12.39,87.61,8.38121891,0.15197805995500457
Paraguay,PRY,2000,417.524577825954,9.23,90.77,11.8494072,0.14614137617841313
Romania,ROU,2000,246.026072323928,7.03,92.97,8.65739632,0.2166179641100234
Russian Federation,RUS,2000,366.798169502002,3.22,96.78,9.72129631,0.1742385260513102
Rwanda,RWA,2000,21.7804527114344,8.44,91.56,3.54361153,0.8969873174456251
Eswatini,SWZ,2000,209.925583105027,8.76,91.24,9.79427242,0.20925798852697328
Thailand,THA,2000,226.053621678033,5.63,94.37,9.24875259,0.21307744307301432
Tunisia,TUN,2000,300.619191896892,22.54,77.46000000000001,10.54292107,0.17767026423025908
Tanzania,TZA,2000,35.7209386063051,5.01,94.99,6.05200052,0.5457592999671348
United States,USA,2000,4548.55482518934,5.94,94.06,16.16093826,0.07881729201037134
Uzbekistan,UZB,2000,159.591652250094,8.14,91.86,6.10871267,0.31580590857199814
Armenia,ARM,2001,137.599041293042,11.99,88.01,5.66264772,0.34865103019562194
Bulgaria,BGR,2001,469.278627742871,7.28,92.72,9.46551609,0.15755808514612857
Bosnia and Herzegovina,BIH,2001,394.056010421098,14.1,85.9,8.60074425,0.17994923266695179
Belarus,BLR,2001,367.78688402911,4.07,95.93,10.04257679,0.1697889865943738
Bolivia,BOL,2001,165.704082560183,7.9,92.1,8.18012047,0.25453251921290343
Canada,CAN,2001,2591.25879818127,2.9,97.1,15.27647972,0.08338055712746353
Cameroon,CMR,2001,91.3232099667445,20.58,79.42,5.34374762,0.40705052450583823
Cabo Verde,CPV,2001,142.872662297639,2.81,97.19,11.17305183,0.2543493061868648
Czechia,CZE,2001,1031.86220701417,0.57,99.43,11.83805084,0.3417114081573607
Georgia,GEO,2001,238.28911793678,13.95,86.05,6.75043344,0.2563458916896598
Hungary,HUN,2001,900.733980760049,8.34,91.66,9.66478729,0.13179404282574736
Indonesia,IDN,2001,111.717915210114,2.56,97.44,3.95831513,0.48845491577847183
India,IND,2001,95.4058154088415,14.86,85.14,2.90321684,0.6128170538122817
Israel,ISR,2001,1858.37215319485,12.24,87.76,9.33316898,0.1364768379024891
Italy,ITA,2001,2170.31340970543,8.81,91.19,12.20876884,0.10433168214527372
Kazakhstan,KAZ,2001,297.396598186705,2.17,97.83,8.40947342,0.21131571406023042
Kyrgyz Republic,KGZ,2001,82.8230887383507,2.68,97.32,7.13149929,0.42715063139479803
Lithuania,LTU,2001,564.961459432522,11.48,88.52,11.36786652,0.13103893757501117
Moldova,MDA,2001,139.642169276076,8.76,91.24,9.71184635,0.2328822559820001
Nicaragua,NIC,2001,159.959380618934,15.95,84.05,12.79048729,0.18182404842121805
Pakistan,PAK,2001,61.8534826574671,5.96,94.04,6.30668402,0.3844070831481153
Poland,POL,2001,630.267495766063,12.4,87.6,8.89294815,0.14323274672415537
Romania,ROU,2001,281.544304095558,7.0,93.0,9.60567093,0.19313666652495232
Russian Federation,RUS,2001,413.119757097163,1.93,98.07,9.67133141,0.20054376949479924
Senegal,SEN,2001,75.2441907337137,1.6,98.4,9.01053238,0.44767483618096704
United States,USA,2001,4901.67536216281,5.82,94.18,16.76017952,0.07599926889088625
Albania,ALB,2002,257.051227793997,23.37,76.63,8.20897484,0.22067625199166882
Armenia,ARM,2002,261.677018919282,11.47,88.53,5.3255291,0.28124255094617795
Azerbaijan,AZE,2002,111.519657988715,6.97,93.03,3.19315743,0.5442160283412366
Belarus,BLR,2002,389.188367334049,3.84,96.16,9.32076073,0.17310868640800478
Bolivia,BOL,2002,172.105025673811,8.23,91.77,7.8159523,0.26019560731119307
Canada,CAN,2002,2727.0447698299,3.0,97.0,15.88256645,0.08019871309904025
China,CHN,2002,153.543707505455,12.27,87.73,6.02580309,0.32275368578035574
Cote d'Ivoire,CIV,2002,95.9781370709401,18.47,81.53,4.14795876,0.48315024272796797
Czechia,CZE,2002,1127.05589555227,0.75,99.25,12.18289185,0.30916347427621654
Djibouti,DJI,2002,84.9293440276589,1.14,98.86,5.49563599,0.5816859035897558
Georgia,GEO,2002,283.725326802592,13.77,86.23,7.02040815,0.23310219590088535
Guinea,GIN,2002,65.8833758377763,9.67,90.33,4.44303322,0.5057089137943189
Guinea-Bissau,GNB,2002,42.4157692645454,5.49,94.51,2.52350521,0.8654034315079421
Hungary,HUN,2002,1032.77498460196,9.7,90.3,9.66882706,0.13173897744738408
Indonesia,IDN,2002,109.350278655416,2.29,97.71,3.98283839,0.492944341419273
Israel,ISR,2002,1854.44348384301,12.14,87.86,8.68584538,0.14664794666192865
Jamaica,JAM,2002,382.287986260346,10.38,89.62,8.66761017,0.18168292737345149
Jordan,JOR,2002,604.100857834215,1.48,98.52,13.38210011,0.19699859241648177
Kazakhstan,KAZ,2002,343.568143784741,2.12,97.88,9.42059898,0.1862856214724537
Kyrgyz Republic,KGZ,2002,89.5114157241061,2.4,97.6,7.56329107,0.41015210862389007
Lao PDR,LAO,2002,83.1760958955142,3.07,96.93,6.12984419,0.4350920303462459
Lithuania,LTU,2002,641.827038469407,12.08,87.92,12.7128334,0.11628937106737236
Latvia,LVA,2002,578.263433090025,9.19,90.81,8.16237354,0.15605281769547627
Moldova,MDA,2002,181.921681252169,9.58,90.42,11.53735256,0.19211686585671767
North Macedonia,MKD,2002,559.140278442583,6.58,93.42,12.38785744,0.12579607893242445
Mongolia,MNG,2002,219.676844585463,1.28,98.72,10.90433216,0.27140970341343096
Mozambique,MOZ,2002,18.4831507452979,0.83,99.17,6.31664944,0.9999999999999765
Poland,POL,2002,715.971942783324,12.29,87.71000000000001,9.391572,0.13562813445927896
Romania,ROU,2002,326.26868972151,7.61,92.39,10.54747868,0.17252041117071693
Russian Federation,RUS,2002,473.454964829201,3.16,96.84,9.51892662,0.15643098917970127
Thailand,THA,2002,271.727906178773,3.98,96.02,8.71551132,0.2081833944952086
Turkiye,TUR,2002,462.405801315857,6.01,93.99,8.63695431,0.16629999826822572
Uganda,UGA,2002,51.7066588334314,9.57,90.43,8.74810505,0.3770598287608457
Ukraine,UKR,2002,295.673439591646,12.41,87.59,8.10631752,0.21069016615891553
United States,USA,2002,5327.93694234898,6.32,93.68,17.22017479,0.07396913245849783
Uzbekistan,UZB,2002,175.44966772588,6.2,93.8,5.58452082,0.3239884906098861
Viet Nam,VNM,2002,116.195131228637,12.72,87.28,8.61995983,0.26588817287811456
Armenia,ARM,2003,288.424583011174,10.61,89.39,5.37522793,0.26691339794096675
Azerbaijan,AZE,2003,124.037865253384,6.99,93.01,3.57235146,0.48756483589390165
Benin,BEN,2003,57.3988069383056,11.11,88.89,7.68920326,0.34351191277735016
Burkina Faso,BFA,2003,45.9000438327367,8.46,91.53999999999999,5.56972933,0.44626686132486665
Belarus,BLR,2003,439.027305638964,4.05,95.95,10.07395458,0.157162540804587
Bhutan,BTN,2003,143.267529452089,5.38,94.62,7.6382122,0.27822979846420653
