Country Name,Country Code,Year,CHE_PPP,CHE10,FPE,OOP_pct,DEA_Efficiency
Bangladesh,BGD,2000,27.2905550706384,14.85,85.15,61.82206726,0.6772728036295392
Belarus,BLR,2000,316.620794668775,2.71,97.29,16.013731,0.34211726572225454
Bolivia,BOL,2000,147.649016788093,11.06,88.94,33.50730133,0.286487057131229
Canada,CAN,2000,2405.67150004447,3.3,96.7,16.60520935,0.07339727570739199
Czechia,CZE,2000,923.632574790482,0.79,99.21,10.1975069,0.1803994714225551
Estonia,EST,2000,485.687718341864,6.63,93.37,20.33896255,0.241632421193837
United Kingdom,GBR,2000,1895.92439875247,2.0,98.0,18.21689606,0.08963232245100242
Georgia,GEO,2000,217.030483039799,12.38,87.62,80.98433685,0.1636368798689899
Guatemala,GTM,2000,272.539677981635,3.68,96.32,58.98999405,0.1610452859782695
Hungary,HUN,2000,802.676557554202,8.26,91.74,27.32668304,0.15807966311070404
India,IND,2000,85.8442199233361,15.41,84.59,71.70202637,0.3012592052893631
Kyrgyz Republic,KGZ,2000,80.1123774476418,2.36,97.64,51.64644623,0.3635680886202651
Lithuania,LTU,2000,521.799343451219,10.06,89.94,27.15216637,0.20494645608149104
Morocco,MAR,2000,143.244423675375,11.5,88.5,53.86581421,0.24734903618914295
Moldova,MDA,2000,124.540222789945,6.89,93.11,47.17256546,0.2838723433983133
North Macedonia,MKD,2000,537.53067812623,1.99,98.01,42.08673859,0.1618193133394279
Peru,PER,2000,215.482857504425,11.82,88.18,40.28141403,0.22779357261652017
Philippines,PHL,2000,102.821933040413,2.83,97.17,41.19496918,0.3378907702690705
Poland,POL,2000,564.333435262893,12.39,87.61,31.12003899,0.18448785878573162
Paraguay,PRY,2000,417.524577825954,9.23,90.77,49.09693146,0.16285306537906685
Romania,ROU,2000,246.026072323928,7.03,92.97,19.41972351,0.3519576343142145
Russian Federation,RUS,2000,366.798169502002,3.22,96.78,30.20886612,0.2304875898592322
Rwanda,RWA,2000,21.7804527114344,8.44,91.56,26.58733177,0.9679299585460523
Eswatini,SWZ,2000,209.925583105027,8.76,91.24,18.52517891,0.3869865414326247
Thailand,THA,2000,226.053621678033,5.63,94.37,34.18558884,0.2534338034151434
Tunisia,TUN,2000,300.619191896892,22.54,77.46000000000001,38.62985992,0.21325782961200476
Tanzania,TZA,2000,35.7209386063051,5.01,94.99,38.47019196,0.6338684704315858
United States,USA,2000,4548.55482518934,5.94,94.06,15.11737442,0.040932222649581955
Uzbekistan,UZB,2000,159.591652250094,8.14,91.86,60.58262634,0.2213760021018323
Armenia,ARM,2001,137.599041293042,11.99,88.01,50.87960052,0.2588057127503635
Bulgaria,BGR,2001,469.278627742871,7.28,92.72,43.70613098,0.1676730895006957
Bosnia and Herzegovina,BIH,2001,394.056010421098,14.1,85.9,41.3520546,0.1855958015346309
Belarus,BLR,2001,367.78688402911,4.07,95.93,20.72087097,0.28023128525581725
Bolivia,BOL,2001,165.704082560183,7.9,92.1,33.05337524,0.28204410444040184
Canada,CAN,2001,2591.25879818127,2.9,97.1,15.92599487,0.06889235216734943
Cameroon,CMR,2001,91.3232099667445,20.58,79.42,75.10469818,0.28534196591929967
Cabo Verde,CPV,2001,142.872662297639,2.81,97.19,23.3310833,0.37953786891366
Czechia,CZE,2001,1031.86220701417,0.57,99.43,10.64326668,0.16308973706703717
Georgia,GEO,2001,238.28911793678,13.95,86.05,76.43830109,0.15562069862480155
Hungary,HUN,2001,900.733980760049,8.34,91.66,28.81419945,0.1439365682490699
Indonesia,IDN,2001,111.717915210114,2.56,97.44,40.49210739,0.3206623929471597
India,IND,2001,95.4058154088415,14.86,85.14,74.1062088,0.2807279797839585
Israel,ISR,2001,1858.37215319485,12.24,87.76,30.3302002,0.0836478951991769
Italy,ITA,2001,2170.31340970543,8.81,91.19,24.47626686,0.07652661285743856
Kazakhstan,KAZ,2001,297.396598186705,2.17,97.83,42.71286392,0.1997476783224341
Kyrgyz Republic,KGZ,2001,82.8230887383507,2.68,97.32,53.16455841,0.3523153570170652
Lithuania,LTU,2001,564.961459432522,11.48,88.52,27.58539391,0.19474858536239747
Moldova,MDA,2001,139.642169276076,8.76,91.24,51.94122314,0.2545670685593415
Nicaragua,NIC,2001,159.959380618934,15.95,84.05,40.38275528,0.24983220447881
Pakistan,PAK,2001,61.8534826574671,5.96,94.04,55.79309845,0.40230881544853325
Poland,POL,2001,630.267495766063,12.4,87.6,28.9781456,0.17915860157273514
Romania,ROU,2001,281.544304095558,7.0,93.0,18.94091988,0.33520397283691566
Russian Federation,RUS,2001,413.119757097163,1.93,98.07,30.79232025,0.2163323888522387
Senegal,SEN,2001,75.2441907337137,1.6,98.4,52.76372147,0.3731114347646091
United States,USA,2001,4901.67536216281,5.82,94.18,14.41595078,0.0382057471668177
Albania,ALB,2002,257.051227793997,23.37,76.63,50.85527039,0.18295498423285114
Armenia,ARM,2002,261.677018919282,11.47,88.53,75.23449707,0.1462163457168235
Azerbaijan,AZE,2002,111.519657988715,6.97,93.03,72.33946991,0.2604870312556969
Belarus,BLR,2002,389.188367334049,3.84,96.16,23.02361107,0.25868152667311123
Bolivia,BOL,2002,172.105025673811,8.23,91.77,33.92093658,0.2740425618172872
Canada,CAN,2002,2727.0447698299,3.0,97.0,15.9083395,0.0657617760759979
China,CHN,2002,153.543707505455,12.27,87.73,62.85082245,0.2247282821594846
Cote d'Ivoire,CIV,2002,95.9781370709401,18.47,81.53,75.83152771,0.2768039620856343
Czechia,CZE,2002,1127.05589555227,0.75,99.25,10.00170326,0.15233174204600863
Djibouti,DJI,2002,84.9293440276589,1.14,98.86,40.90150833,0.38448305277146366
Georgia,GEO,2002,283.725326802592,13.77,86.23,77.12854767,0.1374699379475583
Guinea,GIN,2002,65.8833758377763,9.67,90.33,59.40449905,0.37777749553720524
Guinea-Bissau,GNB,2002,42.4157692645454,5.49,94.51,57.38740921,0.4673877056724588
Hungary,HUN,2002,1032.77498460196,9.7,90.3,27.51259041,0.13307590910062606
Indonesia,IDN,2002,109.350278655416,2.29,97.71,46.37796402,0.31193119815250236
Israel,ISR,2002,1854.44348384301,12.14,87.86,27.84285736,0.08523973537026937
Jamaica,JAM,2002,382.287986260346,10.38,89.62,37.86093903,0.19830214112194572
Jordan,JOR,2002,604.100857834215,1.48,98.52,39.48170853,0.15856976580608978
Kazakhstan,KAZ,2002,343.568143784741,2.12,97.88,45.89466095,0.18176104397335952
Kyrgyz Republic,KGZ,2002,89.5114157241061,2.4,97.6,51.66136932,0.3406289973088789
Lao PDR,LAO,2002,83.1760958955142,3.07,96.93,49.66936493,0.3615567439718737
Lithuania,LTU,2002,641.827038469407,12.08,87.92,25.60276031,0.18639958859889819
Latvia,LVA,2002,578.263433090025,9.19,90.81,47.58166504,0.14627587480541382
Moldova,MDA,2002,181.921681252169,9.58,90.42,46.51903915,0.21876864172413593
North Macedonia,MKD,2002,559.140278442583,6.58,93.42,42.5700264,0.15799244440421642
Mongolia,MNG,2002,219.676844585463,1.28,98.72,20.9937973,0.35267304559029156
Mozambique,MOZ,2002,18.4831507452979,0.83,99.17,27.98241615,0.9999999999999996
