Country Name,Country Code,Year,DEA_Efficiency,FPE,CHE_PPP,GGHE_pct
Bangladesh,BGD,2000,0.7094963970639283,85.15,27.2905550706384,5.21146441
Belarus,BLR,2000,0.16361785942207685,97.29,316.620794668775,12.1293211
Bolivia,BOL,2000,0.2596025028824919,88.94,147.649016788093,8.29598331
Canada,CAN,2000,0.08597417992519561,96.7,2405.67150004447,14.8156271
Czechia,CZE,2000,0.299039110627713,99.21,923.632574790482,12.38825798
Estonia,EST,2000,0.14466075774058992,93.37,485.687718341864,10.7823925
United Kingdom,GBR,2000,0.11467268454549503,98.0,1895.92439875247,15.96845055
Georgia,GEO,2000,0.32248070263300277,87.62,217.030483039799,4.85252142
Guatemala,GTM,2000,0.15262992101008563,96.32,272.539677981635,14.0827589
Hungary,HUN,2000,0.1292396057152068,91.74,802.676557554202,9.85581303
India,IND,2000,0.6168382967273701,84.59,85.8442199233361,3.05056
Kyrgyz Republic,KGZ,2000,0.4517117988888946,97.64,80.1123774476418,7.06400633
Lithuania,LTU,2000,0.14137680262971142,89.94,521.799343451219,10.57103539
Morocco,MAR,2000,0.4228104354156924,88.5,143.244423675375,4.11556196
Moldova,MDA,2000,0.2643386788209596,93.11,124.540222789945,8.52794456
North Macedonia,MKD,2000,0.12734839257489727,98.01,537.53067812623,14.71431541
Peru,PER,2000,0.1939780879533113,88.18,215.482857504425,10.76997662
Philippines,PHL,2000,0.38230889986587296,97.17,102.821933040413,6.51838589
Poland,POL,2000,0.15197805995500457,87.61,564.333435262893,8.38121891
Paraguay,PRY,2000,0.14614137617841313,90.77,417.524577825954,11.8494072
Romania,ROU,2000,0.2166179641100234,92.97,246.026072323928,8.65739632
Russian Federation,RUS,2000,0.1742385260513102,96.78,366.798169502002,9.72129631
Rwanda,RWA,2000,0.8969873174456251,91.56,21.7804527114344,3.54361153
Eswatini,SWZ,2000,0.20925798852697328,91.24,209.925583105027,9.79427242
Thailand,THA,2000,0.21307744307301432,94.37,226.053621678033,9.24875259
Tunisia,TUN,2000,0.17767026423025908,77.46000000000001,300.619191896892,10.54292107
Tanzania,TZA,2000,0.5457592999671348,94.99,35.7209386063051,6.05200052
United States,USA,2000,0.07881729201037134,94.06,4548.55482518934,16.16093826
Uzbekistan,UZB,2000,0.31580590857199814,91.86,159.591652250094,6.10871267
Armenia,ARM,2001,0.34865103019562194,88.01,137.599041293042,5.66264772
Bulgaria,BGR,2001,0.15755808514612857,92.72,469.278627742871,9.46551609
Bosnia and Herzegovina,BIH,2001,0.17994923266695179,85.9,394.056010421098,8.60074425
Belarus,BLR,2001,0.1697889865943738,95.93,367.78688402911,10.04257679
Bolivia,BOL,2001,0.25453251921290343,92.1,165.704082560183,8.18012047
Canada,CAN,2001,0.08338055712746353,97.1,2591.25879818127,15.27647972
Cameroon,CMR,2001,0.40705052450583823,79.42,91.3232099667445,5.34374762
