Country Name,Country Code,n_obs,mean_residual,mean_che,mean_oop,mean_gov,year_min,year_max,WGI_composite,WGI_GE,WGI_CC,WGI_RL,GINI_mean,HDI_Value,HDI_Rank,HDI_Rank_2022,GNI_per_capita,GNI_HDI_Rank_Diff,Life_Expectancy,Expected_Schooling,Mean_Schooling,HDI_Category,HDI_Cat_High,HDI_Cat_Low,HDI_Cat_Medium,ln_GNI,HDI_WGI
Albania,ALB,5,4.476201523273811,16.472,54.358134461999995,8.594502926,2002,2017,-0.2795678166666667,-0.2658011142857143,-0.7033943952380952,-0.4293098333333333,31.372727272727275,0.81,71.0,70.0,17627.39404,16.0,79.602,14.51014996,10.17531099,Very_High,False,False,False,9.777266178786705,-0.22644993150000003
Angola,AGO,2,18.367496199132624,23.895,28.950285915,4.7123453600000005,2008,2018,-1.138710272222222,-1.1356056285714284,-1.2715100333333331,-1.3011230428571428,48.63333333333333,0.616,148.0,146.0,6631.276544,-11.0,64.617,12.1676,5.956173009,Medium,False,False,True,8.799703394377621,-0.7014455276888887
Argentina,ARG,2,5.383398210496127,13.235,24.44955635,15.592311380000002,2004,2017,-0.1597204928571428,0.063999319047619,-0.3689494857142857,-0.4694117857142856,45.304761904761904,0.865,47.0,47.0,25876.05307,20.0,77.395,18.83120918,11.18458184,Very_High,False,False,False,10.16111187312045,-0.13815822632142852
Armenia,ARM,20,-0.0235448042521968,15.5265,74.4724233625,6.4458211415,2001,2021,-0.2379623873015872,-0.1986571999999999,-0.5604686714285714,-0.3285837476190476,31.514285714285712,0.811,69.0,72.0,20220.72319,9.0,75.683,14.3838501,11.34497821,Very_High,False,False,False,9.914512711000638,-0.19298749610158722
Australia,AUS,2,-4.55004227864354,2.4000000000000004,17.98465538,17.08569336,2009,2015,1.596780657142857,1.7293888333333334,1.8585445571428572,1.682479980952381,34.044444444444444,0.958,7.0,8.0,58276.87643,14.0,83.923,20.65477943,12.86999989,Very_High,False,False,False,10.972977822273974,1.529715869542857
Azerbaijan,AZE,4,-5.630144935109625,7.4275,66.66412735,3.5706499825,2002,2005,-0.7654829738095237,-0.6376320571428571,-1.071705,-0.7387862904761905,28.360000000000003,0.789,81.0,82.0,20667.95729,-5.0,74.429,12.90977955,11.06999969,High,True,False,False,9.936388205830099,-0.6039660663357143
Bangladesh,BGD,4,3.110706633129705,16.4575,66.663871765,4.53476906,2000,2016,-0.9675043103174602,-0.7730892952380953,-1.1693273666666666,-0.9394925333333332,32.775,0.685,130.0,131.0,8497.658639,-4.0,74.672,12.31016827,6.789999962,Medium,False,False,True,9.047663622849075,-0.6627404525674603
Belarus,BLR,22,-0.0870656816219262,6.357727272727273,26.449372897727276,9.510723331818182,2000,2021,-0.7250760507936508,-0.8608124666666667,-0.3170927761904761,-0.8867194571428572,27.41428571428572,0.824,65.0,64.0,26724.871,1.0,74.434,13.71881008,12.33537298,Very_High,False,False,False,10.1933873265689,-0.5974626658539682
Benin,BEN,4,-0.3897244563073891,9.405,49.1975488675,4.847986755,2003,2018,-0.2411495825396825,-0.4949296333333333,-0.4872581904761904,-0.3944029476190476,40.38,0.515,173.0,174.0,3805.527516,-13.0,60.774,10.4464798,3.194200039,Low,False,True,False,8.244472639407912,-0.12419203500793649
Bhutan,BTN,4,0.4389688098714225,4.2,16.7894933225,7.28612375,2003,2017,0.3310885833333333,0.393337619047619,0.9749737190476192,0.286547619047619,38.8,0.698,125.0,126.0,13842.80353,-21.0,72.975,13.15274184,5.835794662,Medium,False,False,True,9.535593012946933,0.23109983116666663
Bolivia,BOL,9,-0.1984525557212723,7.115555555555556,29.062166637777775,10.590200635555554,2000,2021,-0.543686119047619,-0.4049430857142856,-0.6767141571428571,-0.9718927142857142,49.815,0.733,108.0,113.0,9445.244868,13.0,68.581,15.61065006,10.02122319,High,True,False,False,9.15337257305041,-0.3985219252619047
Bosnia and Herzegovina,BIH,4,1.0708974320622435,10.2725,35.97347975,12.073328735,2001,2015,-0.4103549809523809,-0.7426094571428571,-0.4765616476190475,-0.3622887047619047,32.46666666666666,0.804,74.0,73.0,19827.48588,6.0,77.85,13.16394043,10.97000027,Very_High,False,False,False,9.894874863580998,-0.32992540468571424
Botswana,BWA,2,1.14989087618838,2.66,4.50067401,8.333975075000001,2009,2015,0.7117740309523808,0.4806841238095237,0.9202517714285714,0.5944460238095237,57.76666666666667,0.731,111.0,112.0,16983.77103,-20.0,69.163,11.42568016,10.478,High,True,False,False,9.740072399785538,0.5203068166261904
Brazil,BRA,2,6.936788613475672,13.44,27.67601299,8.851853850000001,2008,2017,-0.0511056007936507,-0.1125316714285714,-0.1687972999999999,-0.2596020904761905,54.19500000000001,0.786,84.0,86.0,18011.28546,1.0,75.848,15.7927103,8.425371752,High,True,False,False,9.79880932961922,-0.04016900222380945
Bulgaria,BGR,7,5.365641496850606,15.465714285714286,41.857402802857145,10.973951204285711,2001,2018,0.1134994380952381,-0.1187151619047618,-0.1917197476190476,-0.157923238095238,36.75,0.845,55.0,57.0,32174.93003,0.0,75.636,15.3166399,11.45453092,Very_High,False,False,False,10.378973937407881,0.0959070251904762
Burkina Faso,BFA,4,-2.569753937062047,5.87,38.9826431275,7.439454555,2003,2018,-0.423023884126984,-0.6858567571428571,-0.2648546285714285,-0.464644038095238,39.76,0.459,186.0,186.0,2390.527778,-9.0,61.092,8.733340263,2.266550064,Low,False,True,False,7.779687678357097,-0.19416796281428567
Burundi,BDI,3,1.3054854819984243,6.84,27.01569748,6.081999776666667,2006,2020,-1.2607505142857145,-1.2442693333333334,-1.1863456095238096,-1.2478043380952382,36.5,0.439,187.0,187.0,858.9155681,5.0,63.651,9.829423879,3.473935556,Low,False,True,False,6.756834207800006,-0.5534694757714287
Cabo Verde,CPV,2,-3.656794469674273,2.4299999999999997,23.12365818,10.63162422,2001,2007,0.5043452531349206,0.1275019949999999,0.7602289238095238,0.625982919047619,47.36666666666667,0.668,135.0,135.0,8165.379172,-7.0,76.059,11.36709717,6.09003905,Medium,False,False,True,9.007780903816482,0.336902629094127
Cameroon,CMR,3,-1.5057427563530357,13.1,73.21926371333333,4.16985369,2001,2014,-0.9790742936507936,-0.8663625047619047,-1.074628638095238,-1.133590476190476,43.425,0.588,155.0,156.0,4746.26582,-1.0,63.7,10.79187965,6.574180412,Medium,False,False,True,8.465324114455605,-0.5756956846666665
Canada,CAN,15,-2.9283081550550443,3.5733333333333333,15.520172500666666,17.305885505333332,2000,2019,1.6122543793650792,1.8523740952380952,1.8691343714285715,1.6745992857142855,33.154545454545456,0.939,16.0,16.0,54688.41729,9.0,82.63,15.88825989,13.86999989,Very_High,False,False,False,10.909425501502561,1.5139068622238092
Chad,TCD,3,-3.740802841496136,8.090000000000002,57.520594280000005,5.843693016666667,2003,2018,-1.3302929317460317,-1.273365242857143,-1.4280638476190477,-1.409687080952381,40.2,0.416,190.0,189.0,1748.000992,-9.0,55.069,8.347590231,2.334984892,Low,False,True,False,7.466800042199687,-0.5534018596063491
Chile,CHL,3,1.572442936889729,11.713333333333331,36.66668955666667,14.722249986666666,2006,2016,1.1276333944444443,1.119492538095238,1.336150961904762,1.1220816142857142,47.855555555555554,0.878,45.0,45.0,28047.1698,16.0,81.167,16.91242027,11.29105394,Very_High,False,False,False,10.241678661050278,0.9900621203222221
China,CHN,4,8.180388223414408,18.4725,47.0130043025,8.0263664725,2002,2018,-0.5217145079365079,0.0383177714285714,-0.3778664952380952,-0.664587019047619,39.92,0.797,78.0,74.0,22029.22253,-7.0,77.953,15.4787495,8.036181597,High,True,False,False,10.000170540970974,-0.4158064628253968
Colombia,COL,2,7.07110506701536,14.1,18.232480525,17.176104545,2008,2016,-0.4016713103174603,-0.2058138428571428,-0.2958669047619047,-0.5069953666666666,53.995000000000005,0.788,83.0,85.0,18665.94967,1.0,77.725,14.28641033,9.031581597,High,True,False,False,9.834509841827108,-0.3165169925301587
"Congo, Dem. Rep.",COD,2,-5.442433072900339,5.3149999999999995,56.194402694999994,3.18827236,2004,2012,-1.6188056539682538,-1.6601798952380953,-1.4662298952380952,-1.6674199714285711,42.8,0.522,171.0,172.0,1431.047931,17.0,61.895,10.91147386,7.378561086,Low,False,True,False,7.266860818329152,-0.8450165513714285
Costa Rica,CRI,3,-5.573724390302757,6.53,26.32633018333333,28.461667376666668,2004,2018,0.6536260182539683,0.2933410285714285,0.6211900857142857,0.5494386857142857,48.91818181818182,0.833,62.0,65.0,23417.21315,6.0,80.799,16.34963687,8.844752499,Very_High,False,False,False,10.06126933834009,0.5444704732055555
Croatia,HRV,4,-2.618787550973164,2.48,15.084727765,12.9321835025,2004,2010,0.3603032714285714,0.3638496571428571,0.1388732571428571,0.2053113666666666,31.123529411764707,0.889,41.0,40.0,41379.89027,1.0,78.58,16.34815025,12.0951217,Very_High,False,False,False,10.63057446556786,0.32030960829999994
Cyprus,CYP,2,5.647568200687094,15.395,46.774318695000005,6.376655104999999,2009,2015,1.0001536388888888,1.2268384523809523,0.9147339666666664,1.0103326142857143,32.36666666666667,0.913,32.0,31.0,45394.15625,7.0,81.648,16.21559906,12.5573721,Very_High,False,False,False,10.723160687808965,0.9131402723055555
Czechia,CZE,18,-3.076339552200739,1.781111111111111,12.973289807222224,13.596985234444444,2000,2019,0.8739904714285713,0.8511219238095238,0.5090275761904761,0.8910386428571428,26.13684210526316,0.915,29.0,28.0,45889.01401,9.0,79.834,16.7935009,12.96318214,Very_High,False,False,False,10.734002812684103,0.7997012813571428
