Country Name,Country Code,n_obs,mean_residual,mean_che,mean_oop,mean_gov,year_min,year_max,WGI_composite,WGI_GE,WGI_CC,WGI_RL,GINI_mean,WB_Region,Region_East Asia & Pacific,Region_Europe & Central Asia,Region_Latin America & Caribbean,"Region_Middle East, North Africa, Afghanistan & Pakistan",Region_North America,Region_South Asia
Albania,ALB,5,4.476201523273811,16.472,54.358134461999995,8.594502926,2002,2017,-0.2795678166666667,-0.2658011142857143,-0.7033943952380952,-0.4293098333333333,31.372727272727275,Europe & Central Asia,False,True,False,False,False,False
Angola,AGO,2,18.367496199132624,23.895,28.950285915000002,4.7123453600000005,2008,2018,-1.138710272222222,-1.1356056285714284,-1.2715100333333331,-1.3011230428571428,48.63333333333333,Sub-Saharan Africa,False,False,False,False,False,False
Argentina,ARG,2,5.383398210496127,13.235,24.44955635,15.592311380000002,2004,2017,-0.1597204928571428,0.063999319047619,-0.3689494857142857,-0.4694117857142856,45.304761904761904,Latin America & Caribbean,False,False,True,False,False,False
Armenia,ARM,20,-0.023544804252196804,15.526499999999999,74.4724233625,6.4458211415,2001,2021,-0.2379623873015872,-0.1986571999999999,-0.5604686714285714,-0.3285837476190476,31.514285714285712,Europe & Central Asia,False,True,False,False,False,False
Australia,AUS,2,-4.55004227864354,2.4000000000000004,17.98465538,17.08569336,2009,2015,1.596780657142857,1.7293888333333334,1.8585445571428572,1.682479980952381,34.044444444444444,East Asia & Pacific,True,False,False,False,False,False
Azerbaijan,AZE,4,-5.630144935109625,7.4275,66.66412735,3.5706499825,2002,2005,-0.7654829738095237,-0.6376320571428571,-1.071705,-0.7387862904761905,28.360000000000003,Europe & Central Asia,False,True,False,False,False,False
Bangladesh,BGD,4,3.110706633129705,16.4575,66.663871765,4.53476906,2000,2016,-0.9675043103174602,-0.7730892952380953,-1.1693273666666666,-0.9394925333333332,32.775,South Asia,False,False,False,False,False,True
Belarus,BLR,22,-0.08706568162192628,6.357727272727273,26.449372897727276,9.510723331818182,2000,2021,-0.7250760507936508,-0.8608124666666667,-0.3170927761904761,-0.8867194571428572,27.41428571428572,Europe & Central Asia,False,True,False,False,False,False
Benin,BEN,4,-0.38972445630738917,9.405,49.1975488675,4.847986755,2003,2018,-0.2411495825396825,-0.4949296333333333,-0.4872581904761904,-0.3944029476190476,40.38,Sub-Saharan Africa,False,False,False,False,False,False
Bhutan,BTN,4,0.43896880987142256,4.2,16.7894933225,7.28612375,2003,2017,0.3310885833333333,0.393337619047619,0.9749737190476192,0.286547619047619,38.8,South Asia,False,False,False,False,False,True
Bolivia,BOL,9,-0.1984525557212723,7.115555555555556,29.062166637777775,10.590200635555554,2000,2021,-0.543686119047619,-0.4049430857142856,-0.6767141571428571,-0.9718927142857142,49.815,Latin America & Caribbean,False,False,True,False,False,False
Bosnia and Herzegovina,BIH,4,1.0708974320622437,10.2725,35.97347975,12.073328735,2001,2015,-0.4103549809523809,-0.7426094571428571,-0.4765616476190475,-0.3622887047619047,32.46666666666666,Europe & Central Asia,False,True,False,False,False,False
Botswana,BWA,2,1.14989087618838,2.66,4.50067401,8.333975075000001,2009,2015,0.7117740309523808,0.4806841238095237,0.9202517714285714,0.5944460238095237,57.76666666666667,Sub-Saharan Africa,False,False,False,False,False,False
Brazil,BRA,2,6.936788613475672,13.440000000000001,27.67601299,8.851853850000001,2008,2017,-0.0511056007936507,-0.1125316714285714,-0.1687972999999999,-0.2596020904761905,54.19500000000001,Latin America & Caribbean,False,False,True,False,False,False
Bulgaria,BGR,7,5.365641496850606,15.465714285714286,41.857402802857145,10.973951204285713,2001,2018,0.1134994380952381,-0.1187151619047618,-0.1917197476190476,-0.157923238095238,36.75,Europe & Central Asia,False,True,False,False,False,False
Burkina Faso,BFA,4,-2.569753937062047,5.87,38.9826431275,7.439454555,2003,2018,-0.423023884126984,-0.6858567571428571,-0.2648546285714285,-0.464644038095238,39.76,Sub-Saharan Africa,False,False,False,False,False,False
Burundi,BDI,3,1.3054854819984243,6.84,27.01569748,6.081999776666667,2006,2020,-1.2607505142857145,-1.2442693333333334,-1.1863456095238096,-1.2478043380952382,36.5,Sub-Saharan Africa,False,False,False,False,False,False
Cabo Verde,CPV,2,-3.6567944696742725,2.4299999999999997,23.12365818,10.631624219999999,2001,2007,0.5043452531349206,0.1275019949999999,0.7602289238095238,0.625982919047619,47.36666666666667,Sub-Saharan Africa,False,False,False,False,False,False
Cameroon,CMR,3,-1.5057427563530357,13.1,73.21926371333333,4.16985369,2001,2014,-0.9790742936507936,-0.8663625047619047,-1.074628638095238,-1.133590476190476,43.425,Sub-Saharan Africa,False,False,False,False,False,False
Canada,CAN,15,-2.9283081550550443,3.5733333333333333,15.520172500666666,17.305885505333332,2000,2019,1.6122543793650792,1.8523740952380952,1.8691343714285715,1.6745992857142855,33.154545454545456,North America,False,False,False,False,True,False
Chad,TCD,3,-3.740802841496136,8.090000000000002,57.520594280000005,5.843693016666667,2003,2018,-1.3302929317460317,-1.273365242857143,-1.4280638476190477,-1.409687080952381,40.2,Sub-Saharan Africa,False,False,False,False,False,False
Chile,CHL,3,1.572442936889729,11.713333333333333,36.66668955666667,14.722249986666666,2006,2016,1.1276333944444443,1.119492538095238,1.336150961904762,1.1220816142857142,47.855555555555554,Latin America & Caribbean,False,False,True,False,False,False
China,CHN,4,8.180388223414408,18.4725,47.0130043025,8.0263664725,2002,2018,-0.5217145079365079,0.0383177714285714,-0.3778664952380952,-0.664587019047619,39.92,East Asia & Pacific,True,False,False,False,False,False
Colombia,COL,2,7.07110506701536,14.100000000000001,18.232480525,17.176104545,2008,2016,-0.4016713103174603,-0.2058138428571428,-0.2958669047619047,-0.5069953666666666,53.995000000000005,Latin America & Caribbean,False,False,True,False,False,False
"Congo, Dem. Rep.",COD,2,-5.442433072900339,5.3149999999999995,56.194402694999994,3.18827236,2004,2012,-1.6188056539682538,-1.6601798952380953,-1.4662298952380952,-1.6674199714285711,42.8,Sub-Saharan Africa,False,False,False,False,False,False
Costa Rica,CRI,3,-5.573724390302757,6.53,26.32633018333333,28.461667376666668,2004,2018,0.6536260182539683,0.2933410285714285,0.6211900857142857,0.5494386857142857,48.91818181818182,Latin America & Caribbean,False,False,True,False,False,False
Croatia,HRV,4,-2.618787550973164,2.48,15.084727765,12.9321835025,2004,2010,0.3603032714285714,0.3638496571428571,0.1388732571428571,0.2053113666666666,31.123529411764707,Europe & Central Asia,False,True,False,False,False,False
Cyprus,CYP,2,5.647568200687094,15.395,46.774318695000005,6.376655104999999,2009,2015,1.0001536388888888,1.2268384523809523,0.9147339666666664,1.0103326142857143,32.36666666666667,Europe & Central Asia,False,True,False,False,False,False
Czechia,CZE,18,-3.076339552200739,1.7811111111111113,12.973289807222223,13.596985234444444,2000,2019,0.8739904714285713,0.8511219238095238,0.5090275761904761,0.8910386428571428,26.13684210526316,Europe & Central Asia,False,True,False,False,False,False
Djibouti,DJI,3,-4.448365196138485,1.6199999999999999,29.96305402,5.810641606666667,2002,2017,-0.7444038523809523,-0.7888367857142856,-0.6430700523809524,-0.9229898333333332,42.7,"Middle East, North Africa, Afghanistan & Pakistan",False,False,False,True,False,False
Dominican Republic,DOM,2,3.1536827690483813,12.915,37.32972622,12.99544954,2007,2018,-0.3413157515873015,-0.5428571523809523,-0.7377409714285713,-0.5565322761904762,46.96363636363637,Latin America & Caribbean,False,False,True,False,False,False
Ecuador,ECU,2,5.442088999218916,14.34,40.20895195,8.11343408,2011,2013,-0.6165007857142857,-0.5105376190476191,-0.7031489238095238,-0.883302838095238,48.67,Latin America & Caribbean,False,False,True,False,False,False
"Egypt, Arab Rep.",EGY,4,13.32772086372843,25.2825,59.484020235,4.890645145,2008,2017,-0.7186705611111112,-0.4828534952380952,-0.5795383523809524,-0.4868727714285714,30.6375,"Middle East, North Africa, Afghanistan & Pakistan",False,False,False,True,False,False
El Salvador,SLV,5,-7.071160606350176,3.714,36.440755464,17.02729721,2015,2019,-0.2682473777777778,-0.4048045238095238,-0.4623922142857142,-0.7137699523809524,44.40952380952381,Latin America & Caribbean,False,False,True,False,False,False
Estonia,EST,5,3.482094498946806,9.563999999999998,22.04296646,11.367380524000001,2000,2010,1.126811669047619,1.0277865523809524,1.1482323904761904,1.1533152761904764,32.95454545454545,Europe & Central Asia,False,True,False,False,False,False
Eswatini,SWZ,2,3.069423400522629,6.88,14.555170535,9.00616264,2000,2016,-0.5387203944444444,-0.4687734761904762,-0.1462749761904761,-0.5790692761904762,53.03333333333333,Sub-Saharan Africa,False,False,False,False,False,False
Ethiopia,ETH,4,-5.374733570814118,2.075,38.40981674,4.53763002,2004,2018,-0.9632483484126984,-0.6972657809523809,-0.6070373571428571,-0.8546954857142857,32.275,Sub-Saharan Africa,False,False,False,False,False,False
Finland,FIN,3,0.699876871948215,6.706666666666667,18.517153423333333,13.570583346666666,2006,2016,1.8962122849206349,2.1288820285714287,2.2203622000000003,2.0025292714285716,27.49,Europe & Central Asia,False,True,False,False,False,False
Gabon,GAB,2,-3.5887204569826276,4.75,38.561170575,7.395940065,2005,2017,-0.6232088007936507,-0.7580742047619047,-0.801152980952381,-0.6039645857142857,40.1,Sub-Saharan Africa,False,False,False,False,False,False
"Gambia, The",GMB,2,-3.7027590989818684,0.405,20.72397232,5.704010009999999,2010,2015,-0.5328628920634921,-0.6309617619047619,-0.5642207333333333,-0.5246602666666667,41.4,Sub-Saharan Africa,False,False,False,False,False,False
Georgia,GEO,21,7.717267879095891,22.489047619047618,69.38913345333333,7.3887678999999995,2000,2021,-0.0080966309523809,0.0349582285714285,0.222992138095238,-0.1010444666666666,37.52272727272727,Europe & Central Asia,False,True,False,False,False,False
Ghana,GHA,3,-5.847088045988502,1.9733333333333334,32.74582799333333,9.714978216666667,2005,2016,-0.0070445873015872,-0.0658710857142857,-0.1475652333333333,0.0847842952380952,42.9,Sub-Saharan Africa,False,False,False,False,False,False
Greece,GRC,2,7.97001168998389,15.765,31.28350163,10.647826195,2010,2016,0.4803795523809523,0.397454019047619,0.2455306619047619,0.5563317714285714,34.39047619047619,Europe & Central Asia,False,True,False,False,False,False
Guatemala,GTM,3,-6.4043526185927675,8.163333333333332,57.80822499666667,14.767544746666665,2000,2014,-0.6585962888888889,-0.7429081333333333,-0.768205419047619,-0.9662187571428572,52.333333333333336,Latin America & Caribbean,False,False,True,False,False,False
Guinea,GIN,3,-6.264540426765791,6.046666666666667,62.97320683666666,3.650748253333333,2002,2018,-1.1440373404761903,-0.9977613904761904,-1.067992538095238,-1.3077126285714284,36.425,Sub-Saharan Africa,False,False,False,False,False,False
Guinea-Bissau,GNB,3,-5.232243382562397,5.6000000000000005,57.47413380999999,2.54710277,2002,2018,-1.0671735928571429,-1.232989576190476,-1.2757559476190476,-1.3045011857142856,38.6,Sub-Saharan Africa,False,False,False,False,False,False
Haiti,HTI,2,4.796036740177001,10.485,32.34073162,2.8911911249999998,2012,2013,-1.2953343246031743,-1.7276698047619048,-1.3743315952380952,-1.3887339476190477,50.05,Latin America & Caribbean,False,False,True,False,False,False
Hungary,HUN,12,4.049659312941161,10.791666666666666,26.841161727499998,10.228907903333333,2000,2018,0.6648178936507937,0.647217280952381,0.3574348142857143,0.6018848380952381,29.45555555555556,Europe & Central Asia,False,True,False,False,False,False
India,IND,8,2.359449019707607,15.605,68.30024003875,3.05850401625,2000,2017,-0.1972820825396825,0.0071343904761904,-0.3517482857142857,0.0140634952380952,28.1,South Asia,False,False,False,False,False,True
Indonesia,IDN,19,-6.114728539772966,3.1426315789473684,44.84179807947368,6.087734747894737,2001,2021,-0.4293834373015873,-0.239034119047619,-0.720407857142857,-0.5127438523809523,34.24090909090909,East Asia & Pacific,True,False,False,False,False,False
"Iran, Islamic Rep.",IRN,16,1.6904693032241922,14.6075,46.70101118125,16.994239448125,2005,2021,-0.9960406055555556,-0.5491262238095238,-0.8229429809523809,-1.038643780952381,37.25,"Middle East, North Africa, Afghanistan & Pakistan",False,False,False,True,False,False
Iraq,IRQ,3,-0.8318287371026502,8.853333333333333,50.76570383666667,3.3914548533333337,2006,2017,-1.494408034920635,-1.3816469047619049,-1.376338638095238,-1.5524945952380953,29.05,"Middle East, North Africa, Afghanistan & Pakistan",False,False,False,True,False,False
Israel,ISR,16,5.168786746283847,11.659375,25.582885980625,10.266381620625,2001,2018,0.6606225388888889,1.3781649952380952,0.8198908809523809,0.903433761904762,40.214285714285715,"Middle East, North Africa, Afghanistan & Pakistan",False,False,False,True,False,False
Italy,ITA,2,2.350740714494798,9.05,22.512597085,13.098651405,2001,2010,0.5875176984126984,0.4320265095238095,0.3416469571428571,0.5472151999999999,34.666666666666664,Europe & Central Asia,False,True,False,False,False,False
Jamaica,JAM,3,1.4472114298907233,10.316666666666666,40.97784805333333,7.4834946,2002,2004,0.0501706777777777,0.194288719047619,-0.213523238095238,-0.2248104047619047,42.25,Latin America & Caribbean,False,False,True,False,False,False
Japan,JPN,12,2.0998278864254867,9.683333333333334,12.747260888333335,22.84219471666667,2010,2021,1.2674296571428572,1.5072828761904762,1.2331832,1.3500875523809523,32.3,East Asia & Pacific,True,False,False,False,False,False
Jordan,JOR,4,-5.996822200289874,2.9625000000000004,31.818856717499997,14.156840325,2002,2017,-0.0862187119047619,0.1359396666666666,0.1240633904761904,0.1337331476190476,34.3,"Middle East, North Africa, Afghanistan & Pakistan",False,False,False,True,False,False
Kazakhstan,KAZ,19,-4.900865800287017,2.601578947368421,31.706553911052634,9.378163914736842,2001,2021,-0.5534869492063493,-0.5481848476190476,-0.8873828857142857,-0.7013205476190476,29.83809523809524,Europe & Central Asia,False,True,False,False,False,False
Kenya,KEN,2,-2.473340499587766,5.37,36.062318805,7.483433965000001,2005,2015,-0.7049070317460316,-0.5464606285714285,-0.9097507666666668,-0.7386734428571428,40.525,Sub-Saharan Africa,False,False,False,False,False,False
"Korea, Rep.",KOR,16,2.1002160040082214,11.69375,39.703631879375,10.784102409375,2003,2018,0.8197874071428571,1.1762464666666668,0.4829629523809524,0.9691720333333332,32.85454545454545,East Asia & Pacific,True,False,False,False,False,False
