iso3,mean_fpe,std_fpe,n_obs,n_frontier,frontier_pct
ZWE,1.0,,1,1,100.0
SWZ,1.0,0.0,2,2,100.0
ETH,1.0,,1,1,100.0
BWA,1.0,0.0,2,2,100.0
BTN,1.0,0.0,3,3,100.0
RWA,1.0,0.0,4,4,100.0
CPV,1.0,,1,1,100.0
ZAF,1.0,0.0,3,3,100.0
ZMB,1.0,1.2819751242557092e-16,4,4,100.0
MDG,0.9999999999999999,1.5700924586837752e-16,2,2,100.0
CAF,0.9999999999999998,,1,1,100.0
NAM,0.9977777777777778,,1,0,0.0
MLI,0.9974386649778946,0.0051226700442107455,4,3,75.0
HND,0.9967735430530352,,1,0,0.0
GHA,0.996339566738767,0.0048493137062064,3,1,33.33333333333333
JOR,0.9926386331273713,0.011042313268598329,3,1,33.33333333333333
KAZ,0.990267977845367,0.008924379673981452,16,3,18.75
CAN,0.9880181899510788,0.012885130852956008,14,5,35.714285714285715
MEX,0.9852397884413737,0.008293742950606567,7,0,0.0
MNG,0.9844836366941584,0.020626460329899458,7,2,28.57142857142857
IDN,0.9819413661503424,0.011225627496229773,16,2,12.5
IRQ,0.9813600521688894,0.005506308254126405,2,0,0.0
PAK,0.9804544782580967,0.015043427566550293,7,2,28.57142857142857
GIN,0.9789845301482422,0.02127842205940716,3,1,33.33333333333333
BFA,0.9783346430419564,0.037525499015447515,3,2,66.66666666666666
SLV,0.9760321828783198,0.008627916426760246,5,0,0.0
URY,0.975869281084699,0.020391594209926266,2,0,0.0
RUS,0.9750820545518266,0.015091142864467994,10,0,0.0
SEN,0.9739019328942193,0.022050670243150952,3,0,0.0
CRI,0.9722001664519905,0.025822013186207284,3,1,33.33333333333333
PHL,0.9692474135267384,0.02364642126480389,5,1,20.0
SYR,0.9686427688737856,,1,0,0.0
GAB,0.9671931997637546,0.030982733639898806,2,0,0.0
BLR,0.9649982964823958,0.028257965193922138,19,3,15.789473684210526
NPL,0.9578455145011724,,1,0,0.0
PAN,0.9565146538370446,0.04423513528656786,4,0,0.0
MUS,0.9528611589410829,0.0186759248527132,3,0,0.0
UZB,0.9524453894367243,0.007477480708085318,3,0,0.0
KEN,0.9486248789927765,0.00302253498229447,2,0,0.0
GTM,0.9469392727161134,0.05795295966237384,2,0,0.0
BEN,0.9466959948972803,0.053496243962365166,4,1,25.0
MKD,0.9433200437665115,0.022875822224868718,10,1,10.0
AZE,0.940483378649155,0.017411419468944124,4,0,0.0
COM,0.9398748333822716,,1,0,0.0
HTI,0.9348168729302774,,1,0,0.0
ROU,0.9340426398139234,0.04883395236808024,14,4,28.57142857142857
TCD,0.9332122338176287,0.003823003647904887,2,0,0.0
UKR,0.9320827948782154,0.01893693824680369,18,0,0.0
PER,0.9251994469981906,0.027491433543989984,16,1,6.25
EST,0.9231122892772851,0.023458261178386224,5,0,0.0
BGD,0.92277941530089,0.11080988844610176,4,2,50.0
SRB,0.9227441773230186,0.014707752084270146,11,0,0.0
BIH,0.9226695104931929,0.00751210101992884,3,0,0.0
MNE,0.9208010176339521,0.013230475113757731,5,0,0.0
TJK,0.9172026533002009,0.06161176604653087,2,0,0.0
VNM,0.9163770961645421,0.0412297018999537,10,1,10.0
LBR,0.9147416715804012,0.10259778109967738,3,1,33.33333333333333
PRY,0.9105343511450384,,1,0,0.0
ITA,0.909738240898606,,1,0,0.0
JAM,0.9066222889934092,0.0016939566741451322,2,0,0.0
MRT,0.9064507295901969,0.006299415410481213,2,0,0.0
HUN,0.9063227525853946,0.016993681563139667,10,0,0.0
LTU,0.900590345146141,0.015417807167251297,5,0,0.0
DOM,0.8996485308073987,0.08346059798804573,2,0,0.0
BEL,0.8944444444444445,,1,0,0.0
POL,0.890367700874213,0.04194501533134846,18,2,11.11111111111111
ARG,0.8898553683314547,0.06298236317485895,2,0,0.0
CIV,0.8877512446039733,0.043557923074161536,3,0,0.0
BRA,0.8861672893153018,0.030428784119054073,2,0,0.0
TGO,0.8812186662597208,0.10644141671609729,4,1,25.0
COL,0.8766120089778049,0.0737780681715836,2,0,0.0
MMR,0.8752513434204259,0.015600936422305369,2,0,0.0
UGA,0.8752132537715077,0.07451764778992492,5,1,20.0
ECU,0.8713007053134022,0.05722051001832978,2,0,0.0
SDN,0.8684410573713198,0.045317068963184964,2,0,0.0
IND,0.861887605600584,0.03626898240705508,2,0,0.0
MAR,0.861617418123513,0.06002585260324557,3,0,0.0
ARM,0.855608875036718,0.05620722879706376,19,0,0.0
LVA,0.855378768634364,0.03836330513562567,15,0,0.0
CYP,0.8514868905663131,0.0049597779003477185,2,0,0.0
ALB,0.849889629949325,0.061531064628194534,5,0,0.0
GRC,0.8484257406671558,0.010828490394329373,2,0,0.0
MLT,0.8478130707372584,0.006862870018656789,2,0,0.0
BRB,0.8460293373798685,,1,0,0.0
PRT,0.8312268151402331,,1,0,0.0
CHN,0.8304376013147138,0.06116075130455039,3,0,0.0
AGO,0.8289290780091373,0.2419308180071475,2,1,50.0
NGA,0.8258852608252341,0.024214524070666217,5,0,0.0
NIC,0.8133489315903899,0.05922000904692244,2,0,0.0
TUN,0.8118293260434897,0.027446190514086474,4,0,0.0
GEO,0.7827805185000362,0.07457918660933503,20,0,0.0
SLE,0.7233984646346693,0.11099329262876449,3,0,0.0
