iso3,mean_fpe,std_fpe,n_obs,n_frontier,frontier_pct
ZMB,1.0,1.2819751242557092e-16,4,4,100.0
RWA,1.0,0.0,4,4,100.0
MDG,1.0,2.220446049250313e-16,3,3,100.0
BTN,1.0,0.0,4,4,100.0
MLI,0.9974386649778946,0.0051226700442107455,4,3,75.0
GHA,0.996339566738767,0.0048493137062064,3,1,33.33333333333333
JOR,0.9926386331273713,0.011042313268598329,3,1,33.33333333333333
BLR,0.9921855348104943,0.010436999700689105,6,3,50.0
RUS,0.9895067797142256,0.008384028960862346,4,1,25.0
KAZ,0.988410350297784,0.00613496249807915,4,0,0.0
MNG,0.9844836366941584,0.020626460329899458,7,2,28.57142857142857
IDN,0.9839478810225266,0.01205375062087054,18,4,22.22222222222222
BFA,0.9837509822814675,0.03249803543706558,4,3,75.0
PAK,0.9804544782580967,0.015043427566550293,7,2,28.57142857142857
GIN,0.9789845301482422,0.02127842205940716,3,1,33.33333333333333
SLV,0.9760321828783198,0.008627916426760246,5,0,0.0
PHL,0.9743728446056155,0.024595586054655675,6,2,33.33333333333333
SEN,0.9739019328942193,0.022050670243150952,3,0,0.0
ROU,0.9733857068540506,0.034979492443213495,4,2,50.0
TCD,0.955474822545086,0.03865457604203741,3,1,33.33333333333333
UZB,0.9524453894367243,0.007477480708085318,3,0,0.0
MKD,0.949722485069414,0.025310323691433278,6,1,16.666666666666664
BEN,0.9466959948972803,0.053496243962365166,4,1,25.0
AZE,0.940483378649155,0.017411419468944124,4,0,0.0
UKR,0.9320827948782154,0.01893693824680369,18,0,0.0
SRB,0.9261782358916307,0.02813142983389386,3,0,0.0
BGD,0.92277941530089,0.11080988844610176,4,2,50.0
VNM,0.9163770961645421,0.0412297018999537,10,1,10.0
LBR,0.9147416715804012,0.10259778109967738,3,1,33.33333333333333
PER,0.9116013170144049,0.007987876454160872,4,0,0.0
CIV,0.8877512446039733,0.043557923074161536,3,0,0.0
TGO,0.8812186662597208,0.10644141671609729,4,1,25.0
UGA,0.8752132537715077,0.07451764778992492,5,1,20.0
ARM,0.8633200757551729,0.05363316047081143,17,0,0.0
MAR,0.861617418123513,0.06002585260324557,3,0,0.0
NGA,0.8258852608252341,0.024214524070666217,5,0,0.0
TUN,0.8118293260434897,0.027446190514086474,4,0,0.0
ALB,0.8093800874628316,0.03462157712846692,3,0,0.0
GEO,0.7999047247459863,0.0766754016661562,15,0,0.0
SLE,0.7233984646346693,0.11099329262876449,3,0,0.0
