iso3,mean_fpe,std_fpe,n_obs,n_frontier,frontier_pct
URY,0.9902883156297422,,1,0,0.0
CAN,0.9880181899510788,0.012885130852956008,14,5,35.714285714285715
RUS,0.9730754814147075,0.010921420918388604,4,0,0.0
PAN,0.9579276273303654,,1,0,0.0
ARG,0.9343906244275514,,1,0,0.0
POL,0.9246705987655928,0.06881750324542121,5,2,40.0
EST,0.9147527830709058,,1,0,0.0
ITA,0.909738240898606,,1,0,0.0
HUN,0.905102511422047,0.002812415163299575,2,0,0.0
BEL,0.8944444444444445,,1,0,0.0
LTU,0.8885363972117166,,1,0,0.0
CYP,0.8514868905663131,0.0049597779003477185,2,0,0.0
GRC,0.8484257406671558,0.010828490394329373,2,0,0.0
MLT,0.8478130707372584,0.006862870018656789,2,0,0.0
BRB,0.8460293373798685,,1,0,0.0
LVA,0.8390285634695832,0.022483708620875835,3,0,0.0
PRT,0.8312268151402331,,1,0,0.0
