iso3,year,fpe_score,CHE_pc,OOP_pct,GGHE_pct,CHE_pct_GDP,UHC_index,Impoverishing_incidence,CHE_incidence_10
BGD,2000,1.0,8.27585602,0.0,5.21146441,1.80504513,26.724296642783152,6.21,20.7
BLR,2000,0.5927789628405109,57.02944183,0.0,12.1293211,5.28088045,32.8554298478014,2.475,8.25
BOL,2000,0.6724842929099706,42.89028168,0.0,8.29598331,4.39554119,31.446026676260463,4.665,15.55
CAN,2000,0.46034752316331096,1988.15942383,0.0,14.8156271,8.24808502,48.327280754330346,3.1799999999999997,10.6
GEO,2000,0.663632796072457,52.25807953,32.55320913263739,4.85252142,7.194592,30.064268501741935,4.9110000000000005,16.37
GTM,2000,0.5883828743880453,83.61930084,0.0,14.0827589,5.39686108,34.200622340723825,3.243,10.81
HUN,2000,0.573195272598167,313.10858154,0.0,9.85581303,6.76979256,39.623104911472566,8.972999999999999,29.91
IND,2000,1.0,18.47883415,25.69911772768448,3.05056,4.10568476,27.30036937430916,7.484999999999999,24.95
LTU,2000,0.5623495800542267,217.1761322,0.0,10.57103539,6.18559313,37.84536780796303,9.135,30.45
MAR,2000,0.9999999999979599,54.63968277,0.0,4.11556196,3.69304585,33.70031535951584,5.97,19.9
MDA,2000,0.6950009243311376,21.37988663,0.0,8.52794456,5.92687273,27.27411764291746,3.2880000000000003,10.96
POL,2000,0.6396356246732255,238.00448608,0.0,8.38121891,5.26548243,39.49763096215867,12.96,43.2
PRY,2000,1.0,104.49077606,0.0,11.8494072,6.01865244,34.47107618546808,4.572,15.24
ROU,2000,0.6761768201812766,69.89345551,0.0,8.65739632,4.20876169,34.23541952879478,5.151000000000001,17.17
RUS,2000,0.7172510818553844,95.20859528,0.0,9.72129631,5.01989794,34.577303543372246,1.773,5.91
SWZ,2000,0.9999886715735492,76.93126678,0.0,9.79427242,4.60951757,34.1388137255217,2.823,9.41
TUN,2000,0.628127587459455,111.01378632,0.0,10.54292107,4.81271935,35.71241768703904,12.089999999999998,40.3
TZA,2000,0.9999999999923267,12.33031845,0.0,6.05200052,3.41529942,26.790306528301553,2.544,8.48
UZB,2000,0.8350448487735709,35.72119904,0.0,6.10871267,5.13293362,28.486667323650032,4.202999999999999,14.01
ARM,2001,0.9999999999895768,31.90725899,0.0,5.66264772,4.64563894,29.390914128392033,4.95,16.5
BLR,2001,0.9999998559028443,73.3659668,0.0,10.04257679,5.7064805,32.72247465825288,3.1859999999999995,10.62
CAN,2001,0.999999998467856,2041.87512207,0.0,15.27647972,8.62476349,48.229192881419806,2.6999999999999997,9.0
GEO,2001,0.586379403523689,56.36803818,5.845246781776453,6.75043344,7.16950893,30.416575921192432,6.585,21.95
HUN,2001,0.9999999843496582,359.69750977,0.0,9.66478729,6.8197937,40.314261466650436,9.423,31.41
IDN,2001,0.9999999975482056,16.8734417,0.0,3.95831513,2.11850214,29.939639286754648,1.7999999999999998,6.0
KAZ,2001,0.9999998461069132,49.36683273,0.0,8.40947342,3.47098041,33.424056039301696,2.8049999999999997,9.35
LTU,2001,0.9999999999767863,218.81802368,0.0,11.36786652,6.00193262,38.202024919884686,10.638,35.46
MDA,2001,1.0,25.3985939,0.0,9.71184635,6.23449755,28.015037126339855,4.476,14.92
NIC,2001,0.9999999645933141,57.69081879,0.0,12.79048729,5.48459768,31.8402106726016,10.214999999999998,34.05
PAK,2001,1.0,13.41587162,0.0,6.30668402,2.33959723,28.980371983582014,2.1029999999999998,7.01
POL,2001,1.0,282.8210144,0.0,8.89294815,5.64010143,40.043059147977345,12.879,42.93
ROU,2001,1.0,78.8175354,0.0,9.60567093,4.37598133,34.73382717419633,5.781,19.27
ALB,2002,0.5591921529785956,78.72909546,0.0,8.20897484,5.59802675,33.63238720980277,8.628,28.76
ARM,2002,0.5995944016223257,59.20983887,30.052306508747634,5.3255291,7.61358786,30.013239099842778,4.608,15.36
AZE,2002,0.9999999999837611,20.45606041,0.0,3.19315743,2.73097301,30.155833061613308,4.632,15.44
BLR,2002,0.5502744435885278,85.97066498,0.0,9.32076073,5.62404203,33.63076122674643,2.985,9.95
CAN,2002,0.4335627467736555,2134.84960938,0.0,15.88256645,8.85665226,48.32403630959708,2.79,9.3
CHN,2002,0.6753348513429791,49.92394638,0.0,6.02580309,4.32156181,32.3699490250774,12.042,40.14
GEO,2002,0.45483928676638247,66.08916473,10.164562848805403,7.02040815,7.81474257,30.743461853711565,7.919999999999999,26.4
GIN,2002,0.7972474446722336,24.83917809,17.054004518523527,4.44303322,5.35653734,27.89494699869379,3.339,11.13
HUN,2002,0.5032295463026862,473.12783813,0.0,9.66882706,7.1181159,41.53159213989723,11.439,38.13
IDN,2002,0.9999999999976665,18.97848511,0.0,3.98283839,1.98062706,30.909752444812653,1.608,5.36
KAZ,2002,0.7056469518721069,56.88095856,0.0,9.42059898,3.6148138,33.954805135958956,2.928,9.76
LTU,2002,0.5220943732894219,254.36688232,0.0,12.7128334,6.13477659,39.04588326817091,12.002999999999998,40.01
LVA,2002,0.5468539218131279,237.29516602,0.0,8.16237354,5.95477772,38.859601863388804,9.828,32.76
MDA,2002,0.6451630211752131,33.9242363,0.0,11.53735256,7.40437651,28.632487828652454,4.815,16.05
MKD,2002,0.446080506733737,172.87971497,0.0,12.38785744,8.97826958,35.18553864671477,8.568,28.56
POL,2002,0.5348725652456575,315.83145142,0.0,9.391572,6.04828405,40.25675131621206,13.589999999999998,45.3
ROU,2002,0.6054200658822442,96.57698822,0.0,10.54747868,4.57694626,35.51980244788362,6.228000000000001,20.76
RUS,2002,0.5539177701558474,140.05729675,0.0,9.51892662,5.52166557,36.12228149954812,1.851,6.17
TUR,2002,0.5814230079236192,181.39144897,0.0,8.63695431,5.06227875,38.28838739030588,3.534,11.78
UKR,2002,0.9999963134875846,52.11910248,0.0,8.10631752,5.99220037,31.039257066417647,7.7459999999999996,25.82
UZB,2002,0.8466040592464622,24.50708961,0.0,5.58452082,5.14164925,26.518679251869216,4.811999999999999,16.04
ARM,2003,0.6645953462335795,66.31577301,25.129446533452466,5.37522793,7.17936182,30.91586852758409,4.215,14.05
AZE,2003,1.0,23.62244987,0.0,3.57235146,2.72699213,30.925751172172255,3.192,10.64
BEN,2003,0.9800667841980446,21.06955719,0.0,7.68920326,3.11678505,29.519874996593142,7.613999999999999,25.38
BFA,2003,0.9999999999999064,16.02656555,0.0,5.56972933,4.42266035,26.25039700176214,3.501,11.67
BLR,2003,0.9999997147727818,108.51013947,0.0,10.07395458,5.77103186,34.717498223673495,3.543,11.81
GEO,2003,0.5008366169664549,80.6542511,11.168282877357754,7.13276815,8.02952862,31.62713306385802,8.265,27.55
HUN,2003,0.501090587583566,682.86566162,0.0,11.56948948,8.12986469,42.75887642268323,12.956999999999999,43.19
JAM,2003,0.7684009604132576,177.21534729,0.0,6.13759899,4.99239254,38.22750917598666,7.8149999999999995,26.05
KAZ,2003,0.8608051493114456,72.90396881,0.0,9.5652113,3.72335005,35.1027404335309,3.195,10.65
LTU,2003,0.5854666294651862,338.86306763,0.0,13.67591095,6.17724085,40.53490470269702,10.308,34.36
MDA,2003,0.5623840920900024,38.43836975,0.0,9.59353638,7.02227592,29.568669035785284,5.154,17.18
MKD,2003,0.4566341972535029,214.29603577,0.0,13.76112652,9.00857735,36.270033148381565,9.987,33.29
NGA,2003,0.8915606972564876,37.91439438,20.713078592721217,4.00685167,5.05360985,30.15775707750281,8.565,28.55
NPL,2003,1.0,11.06888008,0.0,5.52154541,3.8560729,24.231123212843908,5.4510000000000005,18.17
PAN,2003,0.5539611905496232,303.45755005,0.0,17.18168831,6.71176672,39.19142341166773,6.606,22.02
POL,2003,0.6355970749764173,339.33520508,0.0,8.952384,5.93375778,40.73455985553209,12.342,41.14
ROU,2003,0.6414091119274996,143.54553223,0.0,12.99804401,5.37136793,36.7501012606812,6.417,21.39
