Country Code,Country Name,Year,GDP_per_capita,Health_Spending_Burden,Burden_Quartile
BGD,Bangladesh,2000,396.670730249751,15.65,Highest 25%
GBR,United Kingdom,2000,28383.8761094996,2.0,Lowest 25%
GEO,Georgia,2000,749.908534993961,12.38,Highest 25%
GTM,Guatemala,2000,1648.96578971559,3.68,25-50%
HUN,Hungary,2000,4629.91760812548,8.26,50-75%
IND,India,2000,442.750218937263,15.41,Highest 25%
KGZ,Kyrgyz Republic,2000,279.621738464365,2.36,Lowest 25%
LTU,Lithuania,2000,3300.63634928559,10.06,50-75%
MAR,Morocco,2000,1499.107421875,11.5,50-75%
MDA,Moldova,2000,440.538683980372,6.89,25-50%
MKD,North Macedonia,2000,1861.89899780644,1.99,Lowest 25%
POL,Poland,2000,4520.64100449111,12.39,Highest 25%
ROU,Romania,2000,1659.92904910528,7.03,25-50%
RUS,Russian Federation,2000,1771.59411621094,3.22,Lowest 25%
RWA,Rwanda,2000,251.86926386091,8.44,50-75%
SWZ,Eswatini,2000,1629.67038842815,8.81,50-75%
TZA,Tanzania,2000,401.698150634766,5.08,25-50%
USA,United States,2000,36329.9560727102,5.94,25-50%
UZB,Uzbekistan,2000,555.149231099186,8.14,50-75%
ZAF,South Africa,2000,3217.84693448467,5.07,25-50%
ARM,Armenia,2001,659.588988535629,11.99,50-75%
BGR,Bulgaria,2001,1770.90704918691,7.28,25-50%
BIH,Bosnia and Herzegovina,2001,1387.89362942121,14.56,Highest 25%
GEO,Georgia,2001,801.98383707929,13.95,Highest 25%
HUN,Hungary,2001,5280.94887987063,8.34,50-75%
IDN,Indonesia,2001,732.307093405708,2.56,Lowest 25%
IND,India,2001,450.357900514128,14.86,Highest 25%
ISR,Israel,2001,20966.3052667971,12.24,50-75%
KAZ,Kazakhstan,2001,1422.27331810957,2.17,Lowest 25%
KGZ,Kyrgyz Republic,2001,308.41129550148,2.68,Lowest 25%
LTU,Lithuania,2001,3532.52787363242,11.48,50-75%
MDA,Moldova,2001,507.404076252819,8.76,50-75%
NIC,Nicaragua,2001,1051.874235891,15.95,Highest 25%
PAK,Pakistan,2001,609.939506905073,5.96,25-50%
