Country Name,year,che,oop_share,gov_share,predicted_che,residuals
Bangladesh,2000,14.85,61.82206726,5.21146441,12.539071339320307,2.310928660679693
Belarus,2000,2.71,16.013731,12.1293211,5.05188270387662,-2.34188270387662
Bolivia,2000,11.06,33.50730133,8.29598331,7.553727291784673,3.5062727082153273
Canada,2000,3.3,16.60520935,14.8156271,5.981148616956156,-2.681148616956156
Czechia,2000,0.79,10.1975069,12.38825798,3.9154417516025326,-3.1254417516025326
Estonia,2000,6.63,20.33896255,10.7823925,5.550725866696968,1.0792741333030316
United Kingdom,2000,2.0,18.21689606,15.96845055,6.663388053550575,-4.663388053550575
Georgia,2000,12.38,80.98433685,4.85252142,16.431446180000876,-4.051446180000875
Guatemala,2000,3.68,58.98999405,14.0827589,14.608963741810427,-10.928963741810428
Hungary,2000,8.26,27.32668304,9.85581303,6.731442606079818,1.528557393920182
India,2000,15.41,71.70202637,3.05056,13.953276984944697,1.456723015055303
Kyrgyz Republic,2000,2.36,51.64644623,7.06400633,10.970649589856167,-8.610649589856168
Lithuania,2000,10.06,27.15216637,10.57103539,6.909554498290093,3.150445501709908
Morocco,2000,11.5,53.86581421,4.11556196,10.549504024490398,0.9504959755096021
Moldova,2000,6.89,47.17256546,8.52794456,10.47587528266894,-3.5858752826689395
North Macedonia,2000,1.99,42.08673859,14.71431541,11.26992328528511,-9.27992328528511
Peru,2000,11.82,40.28141403,10.76997662,9.70990640817255,2.11009359182745
Philippines,2000,2.83,41.19496918,6.51838589,8.625279741537172,-5.795279741537172
Poland,2000,12.39,31.12003899,8.38121891,7.08096375924507,5.3090362407549305
Paraguay,2000,9.23,49.09693146,11.8494072,11.873900653279017,-2.643900653279017
Romania,2000,7.03,19.41972351,8.65739632,4.721414441898298,2.3085855581017025
Russian Federation,2000,3.22,30.20886612,9.72129631,7.29273620989721,-4.07273620989721
Rwanda,2000,8.44,26.58733177,3.54361153,4.683667817788735,3.7563321822112643
Eswatini,2000,8.76,18.52517891,9.79427242,4.875704738786874,3.8842952612131256
Thailand,2000,5.63,34.18558884,9.24875259,7.981114269009893,-2.3511142690098934
Tunisia,2000,22.54,38.62985992,10.54292107,9.297042596390517,13.242957403609482
Tanzania,2000,5.01,38.47019196,6.05200052,7.9165944908423205,-2.9065944908423207
United States,2000,5.94,15.11737442,16.16093826,6.0741151739537464,-0.13411517395374606
Uzbekistan,2000,8.14,60.58262634,6.10871267,12.549486028896613,-4.4094860288966125
Armenia,2001,11.99,50.87960052,5.66264772,10.390215444333759,1.5997845556662416
Bulgaria,2001,7.28,43.70613098,9.46551609,10.033509771528047,-2.753509771528047
Bosnia and Herzegovina,2001,14.1,41.3520546,8.60074425,9.282704882294732,4.817295117705267
Belarus,2001,4.07,20.72087097,10.04257679,5.408529011549063,-1.3385290115490625
Bolivia,2001,7.9,33.05337524,8.18012047,7.424217310822527,0.475782689177473
Canada,2001,2.9,15.92599487,15.27647972,5.977604945864379,-3.0776049458643793
Cameroon,2001,20.58,75.10469818,5.34374762,15.35144631549258,5.228553684507418
Cabo Verde,2001,2.81,23.3310833,11.17305183,6.292502835370428,-3.4825028353704277
Czechia,2001,0.57,10.64326668,11.83805084,3.843449502048997,-3.2734495020489973
Georgia,2001,13.95,76.43830109,6.75043344,16.051786675041075,-2.101786675041076
Hungary,2001,8.34,28.81419945,9.66478729,6.98465455188511,1.3553454481148899
Indonesia,2001,2.56,40.49210739,3.95831513,7.710629120900729,-5.15062912090073
India,2001,14.86,74.1062088,2.90321684,14.410942435129162,0.4490575648708379
Israel,2001,12.24,30.3302002,9.33316898,7.201639664892924,5.038360335107076
Italy,2001,8.81,24.47626686,12.20876884,6.842233845143065,1.9677661548569354
Kazakhstan,2001,2.17,42.71286392,8.40947342,9.509393724913567,-7.339393724913567
Kyrgyz Republic,2001,2.68,53.16455841,7.13149929,11.30779478658906,-8.62779478658906
Lithuania,2001,11.48,27.58539391,11.36786652,7.239010257299663,4.240989742700338
Moldova,2001,8.76,51.94122314,9.71184635,11.826441855596952,-3.0664418555969526
Nicaragua,2001,15.95,40.38275528,12.79048729,10.33714305249077,5.612856947509229
Pakistan,2001,5.96,55.79309845,6.30668402,11.60907618226141,-5.6490761822614095
Poland,2001,12.4,28.9781456,8.89294815,6.787353066062969,5.6126469339370315
Romania,2001,7.0,18.94091988,9.60567093,4.905915151558625,2.0940848484413754
Russian Federation,2001,1.93,30.79232025,9.67133141,7.3995421529151475,-5.469542152915148
Senegal,2001,1.6,52.76372147,9.01053238,11.787765501876278,-10.187765501876278
United States,2001,5.82,14.41595078,16.76017952,6.107447152303656,-0.28744715230365614
Albania,2002,23.37,50.85527039,8.20897484,11.14894512912086,12.221054870879142
Armenia,2002,11.47,75.23449707,5.3255291,15.373076386195775,-3.9030763861957745
Azerbaijan,2002,6.97,72.33946991,3.19315743,14.129114916005847,-7.159114916005847
Belarus,2002,3.84,23.02361107,9.32076073,5.67269714458351,-1.83269714458351
Bolivia,2002,8.23,33.92093658,7.8159523,7.496079547129497,0.7339204528705032
Canada,2002,3.0,15.9083395,15.88256645,6.155724143242476,-3.155724143242476
China,2002,12.27,62.85082245,6.02580309,12.998092698894679,-0.7280926988946792
Czechia,2002,0.75,10.00170326,12.18289185,3.8129659360184602,-3.0629659360184602
Djibouti,2002,1.14,40.90150833,5.49563599,8.257232027073933,-7.117232027073933
Georgia,2002,13.77,77.12854767,7.02040815,16.276855723939878,-2.5068557239398785
Guinea,2002,9.67,59.40449905,4.44303322,11.80391159484535,-2.1339115948453493
Guinea-Bissau,2002,5.49,57.38740921,2.52350521,10.807061541066403,-5.317061541066403
Hungary,2002,9.7,27.51259041,9.66882706,6.714160797613096,2.985839202386903
Indonesia,2002,2.29,46.37796402,3.98283839,8.946633641483526,-6.656633641483526
Israel,2002,12.14,27.84285736,8.68584538,6.4882427666194715,5.651757233380529
Jamaica,2002,10.38,37.86093903,8.66761017,8.5740062627547,1.8059937372453003
Jordan,2002,1.48,39.48170853,13.38210011,10.326516262762295,-8.846516262762295
Kazakhstan,2002,2.12,45.89466095,9.42059898,10.47688286546687,-8.356882865466869
Kyrgyz Republic,2002,2.4,51.66136932,7.56329107,11.123532569672728,-8.723532569672727
Lao PDR,2002,3.07,49.66936493,6.12984419,10.277726228433478,-7.2077262284334775
Lithuania,2002,12.08,25.60276031,12.7128334,7.228586351556985,4.851413648443015
Latvia,2002,9.19,47.58166504,8.16237354,10.451614703273167,-1.2616147032731675
Moldova,2002,9.58,46.51903915,11.53735256,11.242170810688542,-1.6621708106885418
North Macedonia,2002,6.58,42.5700264,12.38785744,10.672952136957266,-4.0929521369572655
Mongolia,2002,1.28,20.9937973,10.90433216,5.723997537642427,-4.443997537642427
Mozambique,2002,0.83,27.98241615,6.31664944,5.806699710093461,-4.976699710093461
Poland,2002,12.29,26.44939995,9.391572,6.409057396250708,5.880942603749292
Romania,2002,7.61,17.83514595,10.54747868,4.957598554904007,2.652401445095993
Russian Federation,2002,3.16,31.21293449,9.51892662,7.44162757658551,-4.28162757658551
Thailand,2002,3.98,27.89708328,8.71551132,6.508460942475128,-2.5284609424751276
Uganda,2002,9.57,44.01206207,8.74810505,9.882173572988972,-0.3121735729889714
Ukraine,2002,12.41,45.11745834,8.10631752,9.92040683927952,2.4895931607204798
United States,2002,6.32,14.32717609,17.22017479,6.226898188376964,0.09310181162303621
Uzbekistan,2002,6.2,62.07057571,5.58452082,12.702850248524149,-6.502850248524148
Viet Nam,2002,12.72,34.54223251,8.61995983,7.866946477770681,4.853053522229319
Armenia,2003,10.61,76.42555237,5.37522793,15.636612189424904,-5.026612189424904
Azerbaijan,2003,6.99,69.0607605,3.57235146,13.558442648631283,-6.568442648631283
Benin,2003,11.11,51.67531586,7.68920326,11.164213077243609,-0.054213077243609575
Burkina Faso,2003,8.46,52.65977097,5.56972933,10.733946470834296,-2.2739464708342947
Belarus,2003,4.05,20.16473579,10.07395458,5.301850308488046,-1.251850308488046
Bhutan,2003,5.38,19.00845528,7.6382122,4.329844529020187,1.0501554709798127
Canada,2003,3.3,15.2514801,16.36354446,6.162883911857889,-2.862883911857889
Czechia,2003,0.63,10.36722469,11.61948967,3.720266212833522,-3.090266212833522
Estonia,2003,10.04,21.09503937,11.07697296,5.7969175667375055,4.243082433262494
Georgia,2003,12.05,79.20792389,7.13276815,16.744621017210857,-4.6946210172108565
Hungary,2003,12.37,26.35519791,11.56948948,7.042691683551267,5.3273083164487325
India,2003,15.41,73.42475128,2.67687607,14.200796712406698,1.2092032875933025
Israel,2003,11.7,28.62854767,9.23413563,6.816720166955069,4.88327983304493
Jamaica,2003,10.37,44.69155502,6.13759899,9.240955014208122,1.129044985791877
Kazakhstan,2003,2.32,44.54787064,9.5652113,10.239124523112435,-7.919124523112435
Kyrgyz Republic,2003,1.28,51.07936859,8.07252979,11.154795996461358,-9.874795996461359
"Korea, Rep.",2003,8.33,45.23080063,7.48593473,9.757973578841723,-1.4279735788417227
Lithuania,2003,11.51,24.18149185,13.67591095,7.220791758350779,4.289208241649221
Latvia,2003,10.5,48.56236267,8.08213711,10.632263202573377,-0.13226320257337676
Moldova,2003,10.61,48.30680466,9.59353638,11.032283093565196,-0.42228309356519667
North Macedonia,2003,6.73,43.79019547,13.76112652,11.33958980247764,-4.60958980247764
Nigeria,2003,22.53,72.81436157,4.00685167,14.4723262283848,8.057673771615201
Nepal,2003,9.97,53.80937958,5.52154541,10.959469068388225,-0.9894690683882246
Panama,2003,11.93,33.06431961,17.18168831,10.126655379598706,1.803344620401294
Philippines,2003,2.94,47.70053482,5.4588623,9.665470079506795,-6.725470079506795
Poland,2003,11.73,27.58094215,8.952384,6.513521245119767,5.216478754880233
Romania,2003,7.95,15.12717533,12.99804401,5.127404139700594,2.8225958602994066
Russian Federation,2003,1.41,33.27987289,9.20299911,7.778325349685705,-6.368325349685705
Sierra Leone,2003,35.93,78.75598145,5.45097542,16.14580127231222,19.78419872768778
Serbia,2003,7.75,24.97764397,13.56351852,7.353271472093792,0.39672852790620805
Syrian Arab Republic,2003,5.54,51.56237793,7.51466179,11.088281451301288,-5.548281451301288
Chad,2003,6.28,47.41553116,8.98155689,10.662661105816841,-4.382661105816841
