Variable,Coefficient,Std_Error,Bias,CI_Lower,CI_Upper,P_Value
const,0.49570194606995605,0.05452863908736234,-0.0018819536621322852,0.37668992659364425,0.5969126398111816,0.0
WGI_Composite,0.0110316688169871,0.009298512837945416,-0.0007926959637217651,-0.01019362226461978,0.025977833398837812,0.32
FD_Overall,-0.8540695066580261,0.0769569969330124,0.029438209469246912,-0.9563737047762526,-0.6553134110219708,0.0
Year_2001,-0.06610399922932607,0.07594041909548199,8.723405039620657e-05,-0.2115935546594877,0.09237515656952508,0.368
Year_2002,-0.03820697819007032,0.07435339859057409,-0.0026584963639253306,-0.18964947932043716,0.10302106631762364,0.544
Year_2003,-0.06730339867069146,0.07215265733399696,-0.003155876445928421,-0.22601933314987832,0.06595044296213534,0.276
Year_2004,-0.10298356365305934,0.07614807694109268,-0.0004038356762834927,-0.2574991776228459,0.044688009228972904,0.176
Year_2005,-0.15987531363601126,0.07298118140852114,0.0006091128622078279,-0.2988452989044925,-0.013675918613007315,0.036
Year_2006,0.011563588629193083,0.07039222006492354,-0.0006304356089900827,-0.1317137195745144,0.15883594897085734,0.924
Year_2007,-0.08448964851392336,0.07246812852561994,-6.017588457331302e-05,-0.23707140793211767,0.05706739453093082,0.228
Year_2008,-0.17302955274720697,0.07997900713764232,-0.005083871990972322,-0.3333378054430773,-0.02383630348533336,0.02
Year_2009,-0.08545730846190067,0.0700703667796802,-0.0033946624845243856,-0.22631755957504132,0.042088843577647875,0.172
Year_2010,-0.006171008549514547,0.06958610674178807,-0.00370091457332309,-0.13742453312012462,0.12864431671936571,0.816
Year_2011,-0.03831427269344378,0.07415954177549713,-0.0023293632444661982,-0.20148523703072813,0.10401063949590399,0.58
Year_2012,-0.10815167933191945,0.07298884247292067,0.002632220577608896,-0.2606290746550547,0.034570400353857195,0.168
Year_2013,-0.041304177805525734,0.07175890284083646,-0.002293095385409352,-0.17914938434884212,0.09587445096439699,0.512
Year_2014,-0.10265220051316519,0.07738424158270894,-0.00210815231270757,-0.2615549451896759,0.03806842886071874,0.148
Year_2015,-0.06203145605593678,0.06875454953095833,-0.002124576184805674,-0.20269094142016855,0.06739023032612124,0.34
Year_2016,-0.14286509262363117,0.0670891791368346,-0.001464628471344459,-0.28058527064574584,-0.008485108838305302,0.024
Year_2017,-0.13018407853722733,0.07617644186910276,-0.0009862225246007605,-0.27850000230943456,0.005800341437979232,0.068
Year_2018,-0.08881295112270501,0.06689703220407027,-0.001476532196573288,-0.21990420812807568,0.04400428958396815,0.184
Year_2019,-0.1034646879146502,0.08421931512400989,0.0011929033406421485,-0.27625481810456853,0.060698457918292856,0.192
Year_2020,-0.18398330505931507,0.10795936946633547,-0.008879505015037037,-0.40479346803317684,0.0013673404832200552,0.056
