Variable,Coefficient,Std_Error,Bias,CI_Lower,CI_Upper,P_Value
const,0.33214665250718606,0.05690703486682803,-0.0005059879425985403,0.23238131641505333,0.44882623611943306,0.0
WGI_GE,-0.2566087902895482,0.05114195682366292,0.004699185374170495,-0.35755413784939005,-0.1472390541969268,0.0
WGI_CC,0.1279235427747104,0.050071612907815026,-0.0034126495070632423,0.0282081472353517,0.23971122365043848,0.032
WGI_RL,-0.04696464766019954,0.053564527392700505,0.003058537496824193,-0.15498067175887364,0.06381678911529708,0.436
FD_Overall,-0.18049652127386745,0.09745103952344798,0.009082337107670452,-0.3674460076549675,0.006354680536718671,0.108
Year_2001,-0.07087862968451292,0.06962472195454483,0.001603843794942772,-0.211982786887764,0.058053231423011525,0.356
Year_2002,-0.0433694040739677,0.07018002130340632,0.002988440059386935,-0.18362149834484887,0.09442686878196661,0.572
Year_2003,-0.09063644446785318,0.0652754812216244,0.005734899727613443,-0.22911180143853627,0.02497997335806937,0.26
Year_2004,-0.08279623002502552,0.07014222593907819,0.0035381745578355606,-0.21756837146215663,0.06044586822517248,0.288
Year_2005,-0.11865870360772705,0.06929277397105149,0.0006112708731679378,-0.25215485013430106,0.010468375079526027,0.08
Year_2006,-0.0010669229433869507,0.06419070508343581,-7.738215776698846e-05,-0.12735834211627872,0.12393009610709181,0.968
Year_2007,-0.10463853940384896,0.07091345534001404,0.0033225649191027523,-0.24674812881682107,0.03862786728807052,0.14
Year_2008,-0.21330382159820474,0.07943354873889115,0.005680828646088765,-0.3667531378639732,-0.04523634452173686,0.016
Year_2009,-0.11351227387815946,0.0638324626949018,0.0030713004360335416,-0.22675956196120275,0.003719647736453391,0.088
Year_2010,-0.052167205132222984,0.06830128744815643,0.0013720101686383254,-0.19507438902287763,0.06629437596479434,0.452
Year_2011,-0.10110961933321883,0.06408907377605375,0.0017003189739836916,-0.22495236606139418,0.02061756436052295,0.14
Year_2012,-0.1295916132296259,0.07033777712701175,0.001694721949506095,-0.2647506105850689,0.004094776381501686,0.084
Year_2013,-0.09897930570282693,0.06683416128624615,0.0015760282640693846,-0.22997062542369645,0.02895037275747578,0.156
Year_2014,-0.18396446218185403,0.0684085618092789,0.006328831840174187,-0.31405388801522877,-0.05116274284243677,0.012
Year_2015,-0.11346356996440492,0.06694576782960483,0.006305830252742922,-0.2449934147524671,0.007467749148565905,0.136
Year_2016,-0.1679491072784191,0.06403388013398066,0.005678506024932389,-0.3046287651065171,-0.04875260495832262,0.032
Year_2017,-0.17687679630635433,0.0730445244941962,0.006420743952434166,-0.32092162033468424,-0.03364763385678954,0.02
Year_2018,-0.16250121921999003,0.06318302739918032,0.005401428443899903,-0.27851840358165814,-0.04574146175957455,0.016
Year_2019,-0.1535432135106491,0.07781410477654192,0.003827787542073219,-0.306267645784567,0.0017875034917403942,0.068
Year_2020,-0.26482442411636586,0.10776046055372727,-0.00022492411748420427,-0.4487815967118615,-0.02968053241251556,0.0
