Model,Variable,Coefficient,Std_Error,Bias,CI_Lower,CI_Upper,P_Value
Model_1_Aggregated,const,0.3693335073716152,0.057750381775665334,-0.0016978287686043592,0.25677489683587107,0.4761813611265012,0.0
Model_1_Aggregated,WGI_Composite,-0.13144369983713544,0.023150029228277004,0.004286254927024502,-0.17365317935036773,-0.08515668262223955,0.0
Model_1_Aggregated,FD_Overall,-0.44349183036726003,0.09160226407187154,0.010509905543917342,-0.618414007073611,-0.26081468121953577,0.0
Model_1_Aggregated,Year_2001,-0.05925003679508349,0.07460666149871677,-0.0003480931993908448,-0.19433828309441586,0.08430749903312373,0.44
Model_1_Aggregated,Year_2002,-0.051989780780488916,0.07238447237778685,0.0016334116149692782,-0.18379756064774433,0.08807722324513684,0.524
Model_1_Aggregated,Year_2003,-0.07236921223184646,0.07344153517106182,0.0008419631692671292,-0.2118381019640982,0.06687300761181858,0.328
Model_1_Aggregated,Year_2004,-0.09339516121906384,0.07435877096631466,0.002437283279551672,-0.24036871977140983,0.04395597357003592,0.228
Model_1_Aggregated,Year_2005,-0.13455728531772998,0.07231585592932713,0.0064592933753610665,-0.2681530963472864,0.015367815662304551,0.076
Model_1_Aggregated,Year_2006,0.018749742007530892,0.0683711990282789,0.0015892473106823256,-0.11055221968422041,0.15198456542998875,0.756
Model_1_Aggregated,Year_2007,-0.087244412769993,0.07257646383338574,0.0035775143326191444,-0.22343157121224227,0.04256517093281259,0.26
Model_1_Aggregated,Year_2008,-0.19259969641181054,0.0811856632462999,-0.0007806039217617688,-0.362000131582004,-0.031006475827954016,0.024
Model_1_Aggregated,Year_2009,-0.10517587137496504,0.0676286178953927,0.004909049556074643,-0.23832671549961248,0.017483984640958905,0.156
Model_1_Aggregated,Year_2010,-0.034656254129739494,0.06668097367671248,0.004247678952246852,-0.1563245853614484,0.09031195057256365,0.696
Model_1_Aggregated,Year_2011,-0.06804942443014328,0.06692479274151993,0.0046487962542111835,-0.19691991844585752,0.06327840121381648,0.392
Model_1_Aggregated,Year_2012,-0.11737487542071816,0.06850613210374701,0.00209891409568784,-0.24019094885325126,0.01786587328032274,0.092
Model_1_Aggregated,Year_2013,-0.07212778276525152,0.067677734776844,0.0037613527479563313,-0.19545627921064473,0.06005660000418023,0.36
Model_1_Aggregated,Year_2014,-0.15228059910297675,0.0764625519272451,0.006086984260829126,-0.28559870323572717,0.0017806825719133834,0.036
Model_1_Aggregated,Year_2015,-0.07983569195169293,0.06794101812536742,0.004068653452706794,-0.21049502195755715,0.04768880040539997,0.288
