Model,Variable,Coefficient,Std_Error,P_Value,Significant_5pct,Significant_1pct
Model_1_Aggregated,WGI_Composite,-0.13012650123488656,0.02260522363005765,0.0,True,True
Model_1_Aggregated,FD_Overall,-0.4527427385572291,0.08336576885863808,0.0,True,True
Model_2_WGI_Components,WGI_GE,-0.2566087902895482,0.05114195682366292,0.0,True,True
Model_2_WGI_Components,WGI_CC,0.1279235427747104,0.050071612907815026,0.032,True,False
Model_2_WGI_Components,WGI_RL,-0.04696464766019954,0.053564527392700505,0.436,False,False
Model_2_WGI_Components,FD_Overall,-0.18049652127386745,0.09745103952344798,0.108,False,False
Model_3_FD_Components,WGI_Composite,-0.0036257920279361127,0.020912812926997686,0.852,False,False
Model_3_FD_Components,Financial_Institutions_Access_Index,-0.5860625912377626,0.05770489878241294,0.0,True,True
Model_3_FD_Components,Financial_Institutions_Depth_Index,-0.5243446660746055,0.09003104991649097,0.0,True,True
Model_3_FD_Components,Financial_Institutions_Efficiency_Index,0.06656869548221356,0.07957760739531478,0.416,False,False
Model_3_FD_Components,Financial_Markets_Access_Index,-0.11594427501721419,0.05197623335945583,0.036,True,False
Model_3_FD_Components,Financial_Markets_Depth_Index,0.44333839173181366,0.08853435137007172,0.0,True,True
Model_3_FD_Components,Financial_Markets_Efficiency_Index,-0.007320126450715203,0.0456926257486331,0.764,False,False
Model_4_Fully_Disaggregated,WGI_GE,-0.19576379513102166,0.03839315806266016,0.0,True,True
Model_4_Fully_Disaggregated,WGI_CC,0.1419376760384408,0.03980099870504736,0.0,True,True
Model_4_Fully_Disaggregated,WGI_RL,0.0019177265270323555,0.043911509523361605,0.968,False,False
Model_4_Fully_Disaggregated,Financial_Institutions_Access_Index,-0.519138543125914,0.04924003147638241,0.0,True,True
Model_4_Fully_Disaggregated,Financial_Institutions_Depth_Index,-0.48059580020246256,0.08757512399754822,0.0,True,True
Model_4_Fully_Disaggregated,Financial_Institutions_Efficiency_Index,0.15972525880391097,0.07835605316710312,0.056,False,False
Model_4_Fully_Disaggregated,Financial_Markets_Access_Index,-0.06450455105884256,0.04807673931803222,0.192,False,False
Model_4_Fully_Disaggregated,Financial_Markets_Depth_Index,0.4601930158485993,0.08073195909433091,0.0,True,True
Model_4_Fully_Disaggregated,Financial_Markets_Efficiency_Index,0.024080916761092037,0.04228526033148588,0.652,False,False
