sample,variable,coef,se,t_stat,p_value,ci_low,ci_high,n_obs,n_params,n_per_param
Full Sample,const,1.023222,0.035639,28.7107,0.0,0.963931,1.102143,379,6,63.17
Full Sample,wgi,-0.021862,0.009578,-2.2825,0.0225,-0.040297,-0.003204,379,6,63.17
Full Sample,gini,-0.006628,0.009557,-0.6935,0.488,-0.025395,0.01241,379,6,63.17
Full Sample,period_2005-09,-0.008815,0.030194,-0.292,0.7703,-0.068878,0.049638,379,6,63.17
Full Sample,period_2010-14,-0.034675,0.029155,-1.1893,0.2343,-0.093028,0.022246,379,6,63.17
Full Sample,period_2015-21,-0.049519,0.029042,-1.7051,0.0882,-0.10939,0.00364,379,6,63.17
Lower-Middle + Low Income,const,1.108222,0.085357,12.9834,0.0,0.987545,1.295747,206,6,34.33
Lower-Middle + Low Income,wgi,-0.021008,0.018576,-1.131,0.2581,-0.059612,0.013385,206,6,34.33
Lower-Middle + Low Income,gini,-0.016214,0.018765,-0.864,0.3876,-0.053988,0.022137,206,6,34.33
Lower-Middle + Low Income,period_2005-09,-0.034326,0.052457,-0.6544,0.5129,-0.134414,0.068539,206,6,34.33
Lower-Middle + Low Income,period_2010-14,-0.080626,0.055471,-1.4535,0.1461,-0.194036,0.023181,206,6,34.33
Lower-Middle + Low Income,period_2015-21,-0.102786,0.054457,-1.8875,0.0591,-0.220712,-0.00902,206,6,34.33
Upper-Middle Only,const,0.988774,0.028824,34.3033,0.0,0.940736,1.052001,137,6,22.83
Upper-Middle Only,wgi,-0.051662,0.009619,-5.3709,0.0,-0.070086,-0.033452,137,6,22.83
Upper-Middle Only,gini,-0.004029,0.008465,-0.476,0.6341,-0.02061,0.013043,137,6,22.83
Upper-Middle Only,period_2005-09,-0.032028,0.028261,-1.1333,0.2571,-0.093261,0.02117,137,6,22.83
Upper-Middle Only,period_2010-14,-0.05978,0.029033,-2.059,0.0395,-0.121522,-0.004881,137,6,22.83
Upper-Middle Only,period_2015-21,-0.072058,0.029327,-2.4571,0.014,-0.135713,-0.017864,137,6,22.83
Low Income Only,const,0.992314,0.084284,11.7734,0.0,0.898871,1.144847,50,6,8.33
Low Income Only,wgi,-0.008958,0.029678,-0.3018,0.7628,-0.065487,0.044085,50,6,8.33
Low Income Only,gini,-0.042222,0.029471,-1.4327,0.152,-0.101601,0.013826,50,6,8.33
Low Income Only,period_2005-09,0.057801,0.088667,0.6519,0.5145,-0.093374,0.243804,50,6,8.33
Low Income Only,period_2010-14,-0.071751,0.073127,-0.9812,0.3265,-0.195455,0.087293,50,6,8.33
Low Income Only,period_2015-21,-0.000293,0.079225,-0.0037,0.9971,-0.145344,0.186328,50,6,8.33
