sample,variable,coef,se,t_stat,p_value,ci_low,ci_high,n_obs,n_params,n_per_param
Full Sample,const,1.023222,0.035639,28.7107,0.0,0.963931,1.102143,379,6,63.17
Full Sample,wgi,-0.021862,0.009578,-2.2825,0.0225,-0.040297,-0.003204,379,6,63.17
Full Sample,gini,-0.006628,0.009557,-0.6935,0.488,-0.025395,0.01241,379,6,63.17
Full Sample,period_2005-09,-0.008815,0.030194,-0.292,0.7703,-0.068878,0.049638,379,6,63.17
Full Sample,period_2010-14,-0.034675,0.029155,-1.1893,0.2343,-0.093028,0.022246,379,6,63.17
Full Sample,period_2015-21,-0.049519,0.029042,-1.7051,0.0882,-0.10939,0.00364,379,6,63.17
Upper-Middle + High Income,const,0.972973,0.032325,30.0997,0.0,0.919438,1.043695,173,6,28.83
Upper-Middle + High Income,wgi,-0.031173,0.009406,-3.3143,0.0009,-0.048784,-0.013485,173,6,28.83
Upper-Middle + High Income,gini,-0.001715,0.00885,-0.1937,0.8464,-0.019956,0.015268,173,6,28.83
Upper-Middle + High Income,period_2005-09,-0.008099,0.032519,-0.249,0.8033,-0.077739,0.051237,173,6,28.83
Upper-Middle + High Income,period_2010-14,-0.033766,0.03307,-1.021,0.3072,-0.106864,0.023871,173,6,28.83
Upper-Middle + High Income,period_2015-21,-0.036362,0.03297,-1.1029,0.2701,-0.106518,0.023207,173,6,28.83
High-Income Only,const,1.386296,0.130098,10.6558,0.0,0.996626,1.484753,36,6,6.0
High-Income Only,wgi,0.029358,0.018271,1.6068,0.1081,-0.008322,0.064717,36,6,6.0
High-Income Only,gini,0.057964,0.021564,2.688,0.0072,0.021851,0.100494,36,6,6.0
High-Income Only,period_2005-09,-0.439598,0.125324,-3.5077,0.0005,-0.50433,-0.06255,36,6,6.0
High-Income Only,period_2010-14,-0.461548,0.130859,-3.5271,0.0004,-0.539178,-0.06398,36,6,6.0
High-Income Only,period_2015-21,-0.44944,0.126866,-3.5427,0.0004,-0.528176,-0.060233,36,6,6.0
